<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	0.81412	0.81450	0.80770	0.80878	51157	0	8
2015.01.05	0.80696	0.81064	0.80343	0.80810	86755	0	8
2015.01.06	0.80809	0.81567	0.80801	0.80805	89274	0	8
2015.01.07	0.80804	0.80888	0.80321	0.80755	85039	0	8
2015.01.08	0.80761	0.81301	0.80696	0.81214	76154	0	8
2015.01.09	0.81215	0.82073	0.81049	0.81987	84855	0	8
2015.01.12	0.82091	0.82541	0.81303	0.81553	81056	0	8
2015.01.13	0.81554	0.81962	0.81268	0.81618	88348	0	8
2015.01.14	0.81620	0.81879	0.80675	0.81484	99041	0	8
2015.01.15	0.81488	0.82939	0.81320	0.82135	111834	0	8
2015.01.16	0.82137	0.82551	0.81673	0.82207	93575	0	8
2015.01.19	0.82185	0.82419	0.81950	0.82076	49362	0	7
2015.01.20	0.82082	0.82173	0.81589	0.81687	37410	0	7
2015.01.21	0.81695	0.82330	0.80772	0.80826	46134	0	7
2015.01.22	0.80814	0.81347	0.79950	0.80242	49194	0	7
2015.01.23	0.80241	0.80505	0.78800	0.79086	52506	0	11
2015.01.26	0.78813	0.79327	0.78573	0.79225	40569	0	13
2015.01.27	0.79227	0.79740	0.79046	0.79349	52234	5491316000	1
2015.01.28	0.79354	0.80244	0.78832	0.78861	65909	0	1
2015.01.29	0.78840	0.79057	0.77192	0.77582	46312	15500000	7
2015.01.30	0.77571	0.77965	0.77299	0.77573	44946	0	12
2015.02.02	0.77545	0.78292	0.77490	0.78012	68349	0	7
2015.02.03	0.78008	0.78497	0.76255	0.77905	92545	0	7
2015.02.04	0.77898	0.78464	0.77426	0.77500	72899	0	2
2015.02.05	0.77496	0.78237	0.77333	0.77960	68853	0	7
2015.02.06	0.77962	0.78751	0.77776	0.77904	63943	0	7
2015.02.09	0.77607	0.78343	0.77476	0.77992	48880	0	7
2015.02.10	0.77969	0.78411	0.77471	0.77684	66752	0	7
2015.02.11	0.77682	0.77936	0.76931	0.77165	62916	0	7
2015.02.12	0.77158	0.77781	0.76437	0.77328	73086	0	7
2015.02.13	0.77327	0.77919	0.77239	0.77596	55227	0	7
2015.02.16	0.77740	0.77940	0.77506	0.77699	60755	0	7
2015.02.17	0.77705	0.78282	0.77415	0.78165	68156	0	7
2015.02.18	0.78156	0.78330	0.77733	0.78093	63732	0	7
2015.02.19	0.78091	0.78425	0.77570	0.77906	63496	0	7
2015.02.20	0.77898	0.78484	0.77880	0.78401	63048	0	1
2015.02.23	0.78455	0.78483	0.77805	0.78013	58793	0	7
2015.02.24	0.78007	0.78367	0.77393	0.78302	62819	0	7
2015.02.25	0.78292	0.79010	0.78231	0.78859	63157	0	7
2015.02.26	0.78846	0.79126	0.77853	0.77988	65575	0	7
2015.02.27	0.77987	0.78343	0.77775	0.78065	62143	0	7
2015.03.02	0.78024	0.78071	0.77558	0.77649	54496	0	7
2015.03.03	0.77649	0.78441	0.77507	0.78155	62217	0	7
2015.03.04	0.78161	0.78599	0.77949	0.78160	60878	0	7
2015.03.05	0.78160	0.78403	0.77541	0.77813	63104	0	7
2015.03.06	0.77808	0.78452	0.77060	0.77155	59072	0	7
2015.03.09	0.77102	0.77395	0.76837	0.77043	54284	0	5
2015.03.10	0.77034	0.77066	0.76046	0.76231	73903	0	7
2015.03.11	0.76231	0.76444	0.75601	0.75891	64289	0	7
2015.03.12	0.75901	0.77306	0.75731	0.77007	66704	0	7
2015.03.13	0.77016	0.77098	0.76090	0.76331	67123	0	7
2015.03.16	0.76264	0.76791	0.76128	0.76418	59731	0	1
2015.03.17	0.76405	0.76647	0.76053	0.76214	66358	0	1
2015.03.18	0.76210	0.78462	0.75906	0.77408	67676	0	1
2015.03.19	0.77421	0.78081	0.76109	0.76472	84434	0	3
2015.03.20	0.76485	0.78017	0.76435	0.77687	64736	0	7
2015.03.23	0.77975	0.78983	0.77642	0.78753	65874	0	7
2015.03.24	0.78754	0.79377	0.78344	0.78734	82429	0	15
2015.03.25	0.78733	0.79037	0.78287	0.78461	67756	0	7
2015.03.26	0.78464	0.78837	0.78006	0.78266	74150	0	7
2015.03.27	0.78266	0.78342	0.77444	0.77463	63997	0	7
2015.03.30	0.77326	0.77466	0.76328	0.76515	63774	0	7
2015.03.31	0.76515	0.76634	0.75900	0.76047	70455	0	15
2015.04.01	0.76017	0.76627	0.75820	0.75978	54785	0	8
2015.04.02	0.75979	0.76098	0.75323	0.75902	52992	0	6
2015.04.03	0.75894	0.76927	0.75702	0.76343	34857	0	7
2015.04.06	0.76353	0.76666	0.75787	0.75894	30687	0	5
2015.04.07	0.75888	0.77104	0.75764	0.76316	59562	0	4
2015.04.08	0.76316	0.77273	0.76303	0.76830	61984	0	4
2015.04.09	0.76819	0.77381	0.76593	0.76908	57010	0	4
2015.04.10	0.76905	0.77208	0.76374	0.76789	56287	0	4
2015.04.13	0.76789	0.76789	0.75525	0.75888	58969	0	4
2015.04.14	0.75883	0.76482	0.75548	0.76236	62666	0	4
2015.04.15	0.76240	0.77000	0.75711	0.76809	63892	0	4
2015.04.16	0.76809	0.78215	0.76726	0.77989	85876	0	7
2015.04.17	0.77989	0.78419	0.77587	0.77849	77178	0	4
2015.04.20	0.77849	0.78257	0.77063	0.77239	64890	0	4
2015.04.21	0.77239	0.77532	0.76825	0.77105	84078	0	4
2015.04.22	0.77105	0.78065	0.77054	0.77519	99958	0	6
2015.04.23	0.77519	0.77901	0.77105	0.77776	107084	0	6
2015.04.24	0.77776	0.78401	0.77638	0.78193	97590	0	6
2015.04.27	0.78195	0.78719	0.77909	0.78537	91872	0	6
2015.04.28	0.78522	0.80270	0.78328	0.80222	103995	0	6
2015.04.29	0.80206	0.80753	0.79761	0.80132	120132	0	6
2015.04.30	0.80039	0.80215	0.78625	0.79035	140343	0	6
2015.05.01	0.79035	0.79179	0.78029	0.78435	100806	0	6
2015.05.04	0.78299	0.78509	0.78018	0.78386	55361	0	2
2015.05.05	0.78342	0.79552	0.77978	0.79441	22504	0	2
2015.05.06	0.79391	0.80299	0.79185	0.79656	31733	0	1
2015.05.07	0.79649	0.80039	0.78893	0.79052	16399	0	4
2015.05.08	0.79049	0.79675	0.78627	0.79323	21282	0	7
2015.05.11	0.79177	0.79324	0.78753	0.78886	51104	0	8
2015.05.12	0.78886	0.79992	0.78855	0.79747	82200	0	7
2015.05.13	0.79745	0.81236	0.79502	0.81113	79677	0	7
2015.05.14	0.81098	0.81626	0.80627	0.80779	95554	0	7
2015.05.15	0.80774	0.80882	0.79954	0.80364	73532	0	8
2015.05.18	0.80366	0.80513	0.79759	0.79880	39441	0	8
2015.05.19	0.79889	0.80095	0.79054	0.79125	95995	0	12
2015.05.20	0.79123	0.79338	0.78600	0.78731	108442	0	10
2015.05.21	0.78728	0.79122	0.78647	0.78923	98063	0	9
2015.05.22	0.78924	0.79305	0.78093	0.78293	93702	0	15
