<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	1.16483	1.17848	1.16432	1.17826	45747	0	9
2015.01.05	1.17802	1.18407	1.17428	1.17608	73924	0	7
2015.01.06	1.17609	1.18385	1.17307	1.18344	73095	0	8
2015.01.07	1.18345	1.18727	1.18126	1.18133	76424	0	8
2015.01.08	1.18130	1.18432	1.17962	1.18266	66597	0	7
2015.01.09	1.18262	1.18891	1.18034	1.18638	69772	0	8
2015.01.12	1.18619	1.19734	1.18348	1.19734	67604	0	7
2015.01.13	1.19736	1.19929	1.19255	1.19576	77677	0	8
2015.01.14	1.19575	1.20166	1.19286	1.19488	86786	0	8
2015.01.15	1.19490	1.19945	1.18027	1.19569	103475	0	8
2015.01.16	1.19570	1.20457	1.19501	1.19824	83325	0	3
2015.01.19	1.19787	1.19851	1.19333	1.19378	44096	0	3
2015.01.20	1.19363	1.21135	1.19360	1.21109	39484	0	4
2015.01.21	1.21103	1.23931	1.20619	1.23380	47054	0	3
2015.01.22	1.23371	1.24186	1.23126	1.23778	49817	0	3
2015.01.23	1.23779	1.24556	1.23592	1.24168	49453	0	6
2015.01.26	1.24406	1.24881	1.24042	1.24723	40205	0	3
2015.01.27	1.24706	1.24997	1.23791	1.23972	38406	1603248000	1
2015.01.28	1.23924	1.25366	1.23875	1.25342	37687	0	1
2015.01.29	1.25311	1.26764	1.25109	1.26133	46290	4500000	3
2015.01.30	1.26167	1.27974	1.26070	1.27263	48173	0	3
2015.02.02	1.26991	1.27727	1.25571	1.25627	71610	0	5
2015.02.03	1.25619	1.26437	1.23518	1.24138	84158	0	5
2015.02.04	1.24142	1.25913	1.23898	1.25724	69704	0	5
2015.02.05	1.25721	1.25861	1.23935	1.24340	77571	0	5
2015.02.06	1.24332	1.25462	1.23654	1.25182	62711	0	5
2015.02.09	1.25378	1.25390	1.24282	1.24653	50510	0	3
2015.02.10	1.24652	1.26239	1.24511	1.25857	68206	0	5
2015.02.11	1.25861	1.26970	1.25720	1.26287	64369	0	3
2015.02.12	1.26293	1.26447	1.24432	1.25074	71966	0	5
2015.02.13	1.25079	1.25364	1.24218	1.24426	60093	0	5
2015.02.16	1.24429	1.24900	1.24209	1.24635	59300	0	5
2015.02.17	1.24643	1.24779	1.23626	1.23875	72441	0	5
2015.02.18	1.23876	1.24657	1.23808	1.24539	68601	0	5
2015.02.19	1.24537	1.25538	1.24366	1.24948	67335	0	5
2015.02.20	1.24924	1.25644	1.24223	1.25300	65983	0	2
2015.02.23	1.25309	1.26241	1.25233	1.25703	64625	0	5
2015.02.24	1.25687	1.26634	1.24786	1.24859	66082	0	5
2015.02.25	1.24855	1.24973	1.24009	1.24348	66037	0	5
2015.02.26	1.24331	1.25348	1.23877	1.25143	69793	0	5
2015.02.27	1.25143	1.25302	1.24498	1.25093	71832	0	5
2015.03.02	1.24987	1.25641	1.24763	1.25343	64069	0	5
2015.03.03	1.25347	1.25430	1.24328	1.24946	68518	0	5
2015.03.04	1.24932	1.25399	1.24070	1.24271	70108	0	5
2015.03.05	1.24261	1.25183	1.24071	1.24852	66513	0	5
2015.03.06	1.24838	1.26268	1.24554	1.26219	71852	0	5
2015.03.09	1.26175	1.26257	1.25729	1.26005	53796	0	3
2015.03.10	1.26013	1.26920	1.25988	1.26859	81636	0	5
2015.03.11	1.26855	1.27968	1.26642	1.27418	66606	0	5
2015.03.12	1.27414	1.27683	1.26164	1.26898	72998	0	5
2015.03.13	1.26896	1.28232	1.26815	1.27796	73767	0	3
2015.03.16	1.27893	1.28183	1.27345	1.27749	55226	0	1
2015.03.17	1.27770	1.27971	1.27488	1.27860	51890	0	1
2015.03.18	1.27861	1.28345	1.24485	1.25865	63307	0	1
2015.03.19	1.25873	1.27576	1.25072	1.27104	83272	0	1
2015.03.20	1.27107	1.27226	1.25444	1.25470	67453	0	5
2015.03.23	1.25415	1.26147	1.24947	1.25160	63120	0	5
2015.03.24	1.25156	1.25453	1.24270	1.24969	53846	0	11
2015.03.25	1.24971	1.25393	1.24728	1.25109	48145	0	5
2015.03.26	1.25114	1.25322	1.24101	1.24852	79959	0	5
2015.03.27	1.24852	1.26201	1.24678	1.26064	70248	0	5
2015.03.30	1.26064	1.27056	1.25951	1.26734	70878	0	5
2015.03.31	1.26725	1.27835	1.26518	1.26842	51915	0	11
2015.04.01	1.26811	1.27092	1.25758	1.26187	52967	0	7
2015.04.02	1.26155	1.26549	1.25562	1.25571	49621	0	5
2015.04.03	1.25590	1.25740	1.24289	1.24832	34172	0	5
2015.04.06	1.24832	1.25056	1.24369	1.24797	32553	0	4
2015.04.07	1.24795	1.25214	1.24544	1.25045	53776	0	2
2015.04.08	1.25043	1.25582	1.23868	1.25443	56561	0	2
