<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	0.99289	1.00183	0.99265	1.00142	87310	0	19
2015.01.05	1.00632	1.01124	1.00319	1.00677	109808	0	19
2015.01.06	1.00676	1.01084	1.00403	1.01002	113132	0	19
2015.01.07	1.01001	1.01745	1.00935	1.01423	123995	0	19
2015.01.08	1.01423	1.02157	1.01358	1.01827	99502	0	19
2015.01.09	1.01825	1.02085	1.01366	1.01419	113819	0	19
2015.01.12	1.01347	1.01886	1.01167	1.01473	94847	0	19
2015.01.13	1.01475	1.02168	1.01251	1.01997	113322	0	19
2015.01.14	1.01999	1.02390	1.01365	1.01857	131222	0	19
2015.01.15	1.01853	1.02197	0.81889	0.89031	124348	0	13
2015.01.19	0.86088	0.87964	0.85513	0.87911	63234	0	4
2015.01.20	0.87947	0.88358	0.86840	0.87535	37163	0	17
2015.01.21	0.87531	0.87703	0.84985	0.85976	41756	0	17
2015.01.22	0.85949	0.87478	0.85243	0.87078	42501	0	10
2015.01.23	0.87082	0.88157	0.86777	0.87936	44029	0	16
2015.01.26	0.87960	0.90405	0.87619	0.90243	43936	0	16
2015.01.27	0.90243	0.91654	0.89319	0.90249	39566	6090660000	3
2015.01.28	0.90259	0.90869	0.89824	0.90454	32017	0	28
2015.01.29	0.90459	0.92509	0.90404	0.92342	35371	6500000	1
2015.01.30	0.92344	0.92878	0.91690	0.92017	38110	0	15
2015.02.02	0.92645	0.93423	0.91972	0.92774	34310	0	21
2015.02.03	0.92776	0.92933	0.91832	0.92336	34264	0	24
2015.02.04	0.92333	0.92762	0.92037	0.92574	60019	0	33
2015.02.05	0.92572	0.93093	0.92026	0.92102	80187	0	36
2015.02.06	0.92086	0.92851	0.91582	0.92340	61852	0	5
2015.02.09	0.92625	0.92832	0.91928	0.92334	63972	0	26
2015.02.10	0.92325	0.92750	0.92115	0.92613	65271	0	23
2015.02.11	0.92615	0.92971	0.92267	0.92823	51081	0	6
2015.02.12	0.92838	0.93341	0.92541	0.93073	62867	0	32
2015.02.13	0.93072	0.93328	0.92666	0.93094	49623	0	5
2015.02.16	0.93068	0.93232	0.92806	0.93146	63102	0	45
2015.02.17	0.93145	0.93722	0.92890	0.93656	67771	0	25
2015.02.18	0.93647	0.94492	0.93121	0.94203	69174	0	32
2015.02.19	0.94205	0.94974	0.93829	0.94929	63749	0	24
2015.02.20	0.94942	0.95329	0.93707	0.93778	67867	0	12
2015.02.23	0.94054	0.95234	0.93841	0.94967	68522	0	21
2015.02.24	0.94929	0.95204	0.94667	0.95041	71842	0	16
2015.02.25	0.95041	0.95081	0.94629	0.94828	61002	0	11
2015.02.26	0.94825	0.95437	0.94478	0.95248	66159	0	16
2015.02.27	0.95251	0.95439	0.94485	0.95412	69060	0	16
2015.03.02	0.95285	0.95954	0.95278	0.95829	50811	0	17
2015.03.03	0.95829	0.96153	0.95555	0.96099	57768	0	7
2015.03.04	0.96112	0.96745	0.95903	0.96300	61747	0	22
2015.03.05	0.96291	0.97473	0.96257	0.97338	60635	0	21
2015.03.06	0.97336	0.98634	0.97195	0.98553	60562	0	26
2015.03.09	0.98652	0.98719	0.98226	0.98537	41352	0	31
2015.03.10	0.98551	0.99972	0.98529	0.99922	67201	0	17
2015.03.11	0.99916	1.01057	0.99671	1.00878	54051	0	8
2015.03.12	1.00881	1.01255	0.99791	1.00273	61795	0	22
2015.03.13	1.00275	1.01111	1.00236	1.00468	57498	0	3
2015.03.16	1.00482	1.00825	1.00230	1.00797	49062	0	1
2015.03.17	1.00814	1.00914	1.00097	1.00575	37545	0	1
2015.03.18	1.00587	1.00689	0.96267	0.98218	45823	0	1
2015.03.19	0.98235	0.99778	0.97699	0.98987	67195	0	1
2015.03.20	0.98987	0.99035	0.97246	0.97370	46272	0	30
2015.03.23	0.97423	0.98072	0.96361	0.96573	55973	0	4
2015.03.24	0.96548	0.96898	0.95315	0.95812	50343	0	11
