<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.02	1.23260	1.23539	1.22627	1.22736	45965	39489450000	0
2017.01.03	1.22672	1.23064	1.21988	1.22352	128054	81470889000	11
2017.01.04	1.22295	1.23524	1.22204	1.23212	132832	84515800000	0
2017.01.05	1.23180	1.24318	1.22695	1.24140	172773	112429868000	0
2017.01.06	1.24084	1.24301	1.22606	1.22799	137117	82933773000	0
2017.01.09	1.22484	1.22702	1.21237	1.21570	128673	74317177000	11
2017.01.10	1.21570	1.21898	1.21067	1.21756	140449	86326422000	0
2017.01.11	1.21729	1.22715	1.20374	1.22116	171672	100719093000	0
2017.01.12	1.22022	1.23160	1.21517	1.21597	166604	94007554000	11
2017.01.13	1.21536	1.22324	1.21203	1.21713	136762	74175186000	11
2017.01.16	1.19905	1.20850	1.19864	1.20416	144547	78778025000	0
2017.01.17	1.20415	1.24151	1.20164	1.24125	186319	100280057000	11
2017.01.18	1.24086	1.24128	1.22534	1.22574	160682	89032270000	0
2017.01.19	1.22573	1.23431	1.22491	1.23403	172537	104476563000	0
2017.01.20	1.23380	1.23801	1.22601	1.23701	167700	105381673000	0
2017.01.23	1.23717	1.25373	1.23684	1.25331	151194	93082950000	0
2017.01.24	1.25331	1.25444	1.24179	1.25188	157457	91519763000	11
2017.01.25	1.25188	1.26382	1.24906	1.26291	154321	98492485000	0
2017.01.26	1.26330	1.26731	1.25560	1.25889	162377	100367158000	0
2017.01.27	1.25902	1.26050	1.25160	1.25448	139211	85158509000	0
2017.01.30	1.25768	1.26000	1.24653	1.24838	132345	85172833000	11
2017.01.31	1.24781	1.25960	1.24118	1.25753	163129	100012681000	0
2017.02.01	1.25778	1.26790	1.25422	1.26543	154970	98185267000	0
2017.02.02	1.26543	1.27057	1.25176	1.25243	153586	99532674000	11
2017.02.03	1.25206	1.25376	1.24586	1.24774	143327	99708345000	0
2017.02.06	1.24838	1.24982	1.24269	1.24625	126032	80885230000	0
2017.02.07	1.24673	1.25460	1.23463	1.25060	146924	96802451000	0
2017.02.08	1.25059	1.25490	1.24743	1.25392	139897	86246475000	0
2017.02.09	1.25392	1.25817	1.24907	1.24936	132379	81570972000	0
2017.02.10	1.24928	1.25206	1.24393	1.24773	130673	88771165000	11
2017.02.13	1.24655	1.25391	1.24596	1.25234	121929	85267523000	0
2017.02.14	1.25210	1.25477	1.24431	1.24655	146999	102269192000	0
2017.02.15	1.24650	1.24803	1.23825	1.24573	144065	102036916000	0
2017.02.16	1.24573	1.25232	1.24532	1.24876	128554	96929970000	0
2017.02.17	1.24812	1.25105	1.23874	1.24017	120802	86774849000	11
2017.02.20	1.24014	1.24822	1.24014	1.24568	105367	78100678000	0
2017.02.21	1.24567	1.24803	1.24009	1.24717	126349	90112077000	11
2017.02.22	1.24699	1.25076	1.24169	1.24490	136967	99224566000	0
2017.02.23	1.24421	1.25612	1.24270	1.25539	120626	84875016000	11
2017.02.24	1.25512	1.25692	1.24466	1.24493	115889	77582716000	0
2017.02.27	1.24672	1.24784	1.23834	1.24419	125639	84655130000	0
2017.02.28	1.24408	1.24703	1.23742	1.23805	114937	74400458000	0
2017.03.01	1.23745	1.24041	1.22793	1.22928	133843	91621113000	0
2017.03.02	1.22860	1.23071	1.22421	1.22697	116615	80404153000	0
2017.03.03	1.22654	1.23001	1.22137	1.22857	128493	95882170000	0
2017.03.06	1.22787	1.23001	1.22237	1.22343	114180	83911472000	0
2017.03.07	1.22343	1.22523	1.21687	1.21975	115714	90924578000	0
2017.03.08	1.21962	1.22134	1.21386	1.21649	119636	87783460000	0
2017.03.09	1.21645	1.21950	1.21333	1.21637	145435	100615263000	0
2017.03.10	1.21640	1.21881	1.21345	1.21527	134895	94738183000	11
2017.03.13	1.21690	1.22505	1.21559	1.22173	132538	90084978000	11
2017.03.14	1.22179	1.22207	1.21087	1.21537	122299	87217763000	0
2017.03.15	1.21540	1.23087	1.21465	1.22858	139737	97021365000	11
2017.03.16	1.22862	1.23764	1.22407	1.23584	152188	109012174000	0
2017.03.17	1.23581	1.24044	1.23235	1.23893	119665	81038573000	11
2017.03.20	1.23882	1.24353	1.23345	1.23569	111454	76502623000	11
2017.03.21	1.23567	1.24940	1.23400	1.24696	133277	92182551000	0
2017.03.22	1.24740	1.25056	1.24224	1.24774	129854	93634750000	0
2017.03.23	1.24775	1.25307	1.24625	1.25162	120367	86612224000	11
2017.03.24	1.25162	1.25198	1.24595	1.24595	102501	74842620000	11
