<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	1.12132	1.12143	1.11635	1.11722	30404	0	1
2020.01.03	1.11722	1.11797	1.11250	1.11558	39449	0	1
2020.01.06	1.11646	1.12054	1.11571	1.11968	32448	0	1
2020.01.07	1.11960	1.11975	1.11335	1.11526	35909	0	1
2020.01.08	1.11529	1.11681	1.11016	1.11053	50619	0	1
2020.01.09	1.11053	1.11203	1.10923	1.11051	32024	0	1
2020.01.10	1.11051	1.11291	1.10850	1.11212	30181	0	1
2020.01.13	1.11162	1.11469	1.11127	1.11338	25932	0	1
2020.01.14	1.11338	1.11444	1.11042	1.11274	31762	0	1
2020.01.15	1.11284	1.11633	1.11185	1.11495	29102	0	1
2020.01.16	1.11492	1.11726	1.11278	1.11358	30453	0	1
2020.01.17	1.11352	1.11425	1.10862	1.10893	28089	0	1
2020.01.20	1.10920	1.11024	1.10766	1.10944	18552	0	1
2020.01.21	1.10934	1.11180	1.10809	1.10819	29051	0	1
2020.01.22	1.10816	1.10983	1.10701	1.10920	30270	0	1
2020.01.23	1.10920	1.11087	1.10363	1.10542	37577	0	1
2020.01.24	1.10542	1.10617	1.10196	1.10255	32850	0	1
2020.01.27	1.10295	1.10375	1.10096	1.10184	33777	0	1
2020.01.28	1.10185	1.10251	1.09977	1.10220	28331	0	1
2020.01.29	1.10219	1.10277	1.09922	1.10099	28043	0	1
2020.01.30	1.10098	1.10393	1.10068	1.10312	34415	0	1
2020.01.31	1.10313	1.10951	1.10168	1.10943	37949	0	1
2020.02.03	1.10907	1.10927	1.10349	1.10593	35264	0	1
2020.02.04	1.10590	1.10642	1.10327	1.10434	32443	0	1
2020.02.05	1.10436	1.10478	1.09935	1.09989	33576	0	1
2020.02.06	1.09989	1.10138	1.09643	1.09827	29014	0	1
2020.02.07	1.09827	1.09849	1.09418	1.09430	38494	0	1
2020.02.10	1.09424	1.09574	1.09076	1.09105	28211	0	1
2020.02.11	1.09105	1.09247	1.08912	1.09145	30977	0	1
2020.02.12	1.09146	1.09255	1.08651	1.08728	31063	0	1
2020.02.13	1.08716	1.08887	1.08339	1.08408	34413	0	1
2020.02.14	1.08408	1.08612	1.08272	1.08301	29198	0	1
2020.02.17	1.08397	1.08509	1.08291	1.08346	21012	0	1
2020.02.18	1.08345	1.08372	1.07852	1.07907	34567	0	1
2020.02.19	1.07906	1.08117	1.07821	1.08039	33315	0	1
2020.02.20	1.08033	1.08211	1.07775	1.07838	40984	0	1
2020.02.21	1.07841	1.08634	1.07835	1.08474	40454	0	1
2020.02.24	1.08250	1.08720	1.08049	1.08520	54843	0	1
2020.02.25	1.08519	1.08901	1.08300	1.08806	60638	0	1
2020.02.26	1.08806	1.09087	1.08549	1.08807	60645	0	1
2020.02.27	1.08812	1.10066	1.08771	1.09998	76238	0	1
2020.02.28	1.09998	1.10531	1.09508	1.10293	97598	0	1
2020.03.02	1.10407	1.11845	1.10362	1.11332	86124	0	1
2020.03.03	1.11314	1.12130	1.10951	1.11710	80800	0	1
2020.03.04	1.11707	1.11875	1.10953	1.11336	63822	0	1
2020.03.05	1.11340	1.12447	1.11195	1.12371	60736	0	1
2020.03.06	1.12370	1.13546	1.12113	1.12901	94001	0	1
2020.03.09	1.13469	1.14964	1.13397	1.14358	187327	0	1
2020.03.10	1.14358	1.14574	1.12743	1.12905	190339	0	8
2020.03.11	1.12905	1.13662	1.12500	1.12607	129097	0	1
2020.03.12	1.12602	1.13332	1.10554	1.11667	172884	0	1
2020.03.13	1.11686	1.12211	1.10549	1.11025	168062	0	0
2020.03.16	1.11886	1.12364	1.10846	1.11777	205632	0	0
2020.03.17	1.11777	1.11890	1.09550	1.10052	177869	0	0
2020.03.18	1.10061	1.10450	1.08016	1.09116	201942	0	0
2020.03.19	1.09117	1.09817	1.06541	1.06589	219504	0	0
2020.03.20	1.06614	1.08309	1.06375	1.06935	244937	0	0
