<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	1.29868	1.30079	1.29686	1.29790	22100	0	0
2020.01.03	1.29822	1.30051	1.29606	1.30002	33505	0	0
2020.01.06	1.29857	1.29900	1.29600	1.29636	22623	0	0
2020.01.07	1.29633	1.30293	1.29569	1.30033	25166	0	0
2020.01.08	1.30033	1.30435	1.29759	1.30384	36190	0	2
2020.01.09	1.30381	1.31044	1.30258	1.30552	27002	0	2
2020.01.10	1.30553	1.30753	1.30288	1.30529	26140	0	2
2020.01.13	1.30494	1.30673	1.30314	1.30550	21714	0	2
2020.01.14	1.30551	1.30791	1.30467	1.30607	23899	0	2
2020.01.15	1.30602	1.30780	1.30349	1.30410	24916	0	2
2020.01.16	1.30409	1.30560	1.30319	1.30406	23818	0	2
2020.01.17	1.30406	1.30748	1.30335	1.30696	22962	0	2
2020.01.20	1.30589	1.30719	1.30428	1.30463	15500	0	2
2020.01.21	1.30453	1.30797	1.30439	1.30690	26207	0	2
2020.01.22	1.30688	1.31522	1.30357	1.31344	34185	0	2
2020.01.23	1.31340	1.31713	1.31239	1.31266	29074	0	2
2020.01.24	1.31258	1.31524	1.31175	1.31469	27176	0	2
2020.01.27	1.31491	1.31999	1.31475	1.31937	31032	0	2
2020.01.28	1.31936	1.32055	1.31539	1.31546	26227	0	2
2020.01.29	1.31548	1.32093	1.31543	1.31980	23829	0	2
2020.01.30	1.31981	1.32263	1.31876	1.32083	33680	0	2
2020.01.31	1.32082	1.32528	1.31950	1.32282	36027	0	2
2020.02.03	1.32351	1.33033	1.32317	1.32848	30601	0	2
2020.02.04	1.32846	1.33014	1.32635	1.32753	26504	0	2
2020.02.05	1.32753	1.33026	1.32625	1.32805	31219	0	2
2020.02.06	1.32804	1.33089	1.32700	1.32828	28420	0	2
2020.02.07	1.32828	1.33209	1.32786	1.33065	40997	0	2
2020.02.10	1.33023	1.33289	1.32878	1.33158	31046	0	2
