<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.01	00:00:00	110.703	110.743	110.677	110.721	514	0	5
2021.04.01	01:00:00	110.721	110.780	110.686	110.775	1251	0	0
2021.04.01	02:00:00	110.776	110.804	110.746	110.758	1028	0	0
2021.04.01	03:00:00	110.758	110.825	110.676	110.790	3487	0	0
2021.04.01	04:00:00	110.789	110.797	110.625	110.663	2397	0	0
2021.04.01	05:00:00	110.663	110.709	110.616	110.637	1918	0	0
2021.04.01	06:00:00	110.637	110.652	110.570	110.634	1493	0	0
2021.04.01	07:00:00	110.634	110.710	110.621	110.699	1910	0	0
2021.04.01	08:00:00	110.699	110.752	110.697	110.750	1768	0	0
2021.04.01	09:00:00	110.750	110.811	110.741	110.766	2512	0	0
2021.04.01	10:00:00	110.764	110.805	110.620	110.686	3874	0	0
2021.04.01	11:00:00	110.684	110.775	110.672	110.768	2647	0	0
2021.04.01	12:00:00	110.768	110.847	110.719	110.834	2598	0	0
2021.04.01	13:00:00	110.831	110.838	110.773	110.792	2107	0	0
2021.04.01	14:00:00	110.793	110.806	110.736	110.754	1788	0	0
2021.04.01	15:00:00	110.754	110.759	110.620	110.696	3375	0	0
2021.04.01	16:00:00	110.696	110.712	110.586	110.704	3615	0	0
2021.04.01	17:00:00	110.703	110.738	110.550	110.606	3525	0	0
2021.04.01	18:00:00	110.606	110.635	110.556	110.605	1940	0	0
2021.04.01	19:00:00	110.605	110.608	110.545	110.582	1076	0	0
2021.04.01	20:00:00	110.585	110.609	110.555	110.604	897	0	0
2021.04.01	21:00:00	110.605	110.638	110.593	110.628	947	0	0
2021.04.01	22:00:00	110.627	110.647	110.589	110.604	631	0	0
2021.04.01	23:00:00	110.604	110.641	110.591	110.604	544	0	0
2021.04.02	00:00:00	110.595	110.614	110.559	110.580	1076	0	8
2021.04.02	01:00:00	110.576	110.611	110.561	110.600	487	0	3
2021.04.02	02:00:00	110.600	110.630	110.596	110.611	311	0	1
2021.04.02	03:00:00	110.610	110.648	110.521	110.621	1738	0	0
2021.04.02	04:00:00	110.621	110.667	110.616	110.633	1124	0	0
2021.04.02	05:00:00	110.632	110.659	110.620	110.624	846	0	0
2021.04.02	06:00:00	110.624	110.634	110.584	110.607	970	0	0
2021.04.02	07:00:00	110.607	110.639	110.598	110.599	1580	0	1
2021.04.02	08:00:00	110.599	110.602	110.476	110.535	943	0	0
2021.04.02	09:00:00	110.535	110.535	110.431	110.486	809	0	0
2021.04.02	10:00:00	110.486	110.565	110.480	110.543	868	0	0
2021.04.02	11:00:00	110.544	110.555	110.374	110.387	874	0	0
2021.04.02	12:00:00	110.388	110.492	110.386	110.476	574	0	0
2021.04.02	13:00:00	110.476	110.521	110.468	110.508	454	0	0
