<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.07.01	00:00:00	1.18559	1.18597	1.18541	1.18581	735	0	6
2021.07.01	01:00:00	1.18572	1.18587	1.18544	1.18575	1102	0	0
2021.07.01	02:00:00	1.18575	1.18604	1.18549	1.18558	863	0	0
2021.07.01	03:00:00	1.18560	1.18565	1.18466	1.18487	2110	0	0
2021.07.01	04:00:00	1.18488	1.18543	1.18475	1.18520	2259	0	0
2021.07.01	05:00:00	1.18520	1.18520	1.18487	1.18502	1591	0	0
2021.07.01	06:00:00	1.18502	1.18518	1.18470	1.18505	1468	0	0
2021.07.01	07:00:00	1.18505	1.18511	1.18462	1.18490	1114	0	0
2021.07.01	08:00:00	1.18490	1.18492	1.18389	1.18435	2211	0	0
2021.07.01	09:00:00	1.18435	1.18559	1.18374	1.18547	3846	0	0
2021.07.01	10:00:00	1.18546	1.18600	1.18458	1.18479	4901	0	0
2021.07.01	11:00:00	1.18479	1.18501	1.18385	1.18447	4271	0	0
2021.07.01	12:00:00	1.18445	1.18565	1.18404	1.18542	3874	0	0
2021.07.01	13:00:00	1.18542	1.18668	1.18492	1.18668	3829	0	0
2021.07.01	14:00:00	1.18666	1.18784	1.18642	1.18767	4551	0	0
2021.07.01	15:00:00	1.18767	1.18842	1.18719	1.18783	4662	0	0
2021.07.01	16:00:00	1.18785	1.18822	1.18647	1.18784	4999	0	0
2021.07.01	17:00:00	1.18779	1.18801	1.18573	1.18682	6609	0	0
2021.07.01	18:00:00	1.18679	1.18683	1.18484	1.18558	5350	0	0
2021.07.01	19:00:00	1.18558	1.18596	1.18471	1.18491	3109	0	0
2021.07.01	20:00:00	1.18489	1.18549	1.18465	1.18470	2179	0	0
2021.07.01	21:00:00	1.18471	1.18493	1.18413	1.18416	1958	0	0
2021.07.01	22:00:00	1.18416	1.18484	1.18410	1.18467	1742	0	0
2021.07.01	23:00:00	1.18466	1.18507	1.18456	1.18497	983	0	0
2021.07.02	00:00:00	1.18491	1.18516	1.18472	1.18490	599	0	4
2021.07.02	01:00:00	1.18493	1.18505	1.18425	1.18463	835	0	0
2021.07.02	02:00:00	1.18463	1.18469	1.18430	1.18459	747	0	0
2021.07.02	03:00:00	1.18458	1.18478	1.18409	1.18430	1719	0	0
2021.07.02	04:00:00	1.18429	1.18467	1.18416	1.18437	2554	0	0
2021.07.02	05:00:00	1.18438	1.18458	1.18404	1.18415	1959	0	0
2021.07.02	06:00:00	1.18415	1.18437	1.18409	1.18427	1403	0	0
2021.07.02	07:00:00	1.18427	1.18463	1.18424	1.18447	1042	0	0
2021.07.02	08:00:00	1.18447	1.18480	1.18404	1.18418	1043	0	0
2021.07.02	09:00:00	1.18415	1.18431	1.18354	1.18388	2765	0	0
2021.07.02	10:00:00	1.18388	1.18392	1.18224	1.18247	4352	0	0
2021.07.02	11:00:00	1.18247	1.18336	1.18240	1.18278	3696	0	0
2021.07.02	12:00:00	1.18278	1.18310	1.18223	1.18227	2782	0	0
2021.07.02	13:00:00	1.18227	1.18326	1.18205	1.18272	2939	0	0
2021.07.02	14:00:00	1.18272	1.18340	1.18215	1.18218	3122	0	0
2021.07.02	15:00:00	1.18217	1.18570	1.18071	1.18474	9053	0	0
2021.07.02	16:00:00	1.18471	1.18592	1.18259	1.18449	9410	0	0
2021.07.02	17:00:00	1.18446	1.18468	1.18296	1.18430	6694	0	0
2021.07.02	18:00:00	1.18429	1.18508	1.18410	1.18473	4175	0	0
2021.07.02	19:00:00	1.18472	1.18502	1.18391	1.18435	2920	0	0
2021.07.02	20:00:00	1.18435	1.18682	1.18414	1.18674	3043	0	0
2021.07.02	21:00:00	1.18674	1.18743	1.18673	1.18682	2460	0	0
2021.07.02	22:00:00	1.18681	1.18692	1.18630	1.18650	1483	0	0
