<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.07.01	01:00:00	4303.8	4304.8	4303.6	4304.6	287	0	8
2021.07.01	02:00:00	4304.6	4304.6	4302.8	4304.1	522	0	7
2021.07.01	03:00:00	4304.1	4307.1	4301.6	4306.3	863	0	7
2021.07.01	04:00:00	4306.3	4307.6	4305.1	4307.1	623	0	7
2021.07.01	05:00:00	4307.1	4307.1	4305.6	4305.8	425	0	7
2021.07.01	06:00:00	4305.8	4306.6	4304.6	4305.3	403	0	7
2021.07.01	07:00:00	4305.3	4306.3	4303.8	4304.6	402	0	7
2021.07.01	08:00:00	4304.6	4306.1	4304.1	4305.6	479	0	7
2021.07.01	09:00:00	4305.6	4306.3	4304.1	4305.3	936	0	7
2021.07.01	10:00:00	4305.3	4314.8	4304.3	4312.8	3107	0	7
2021.07.01	11:00:00	4312.8	4315.3	4308.1	4308.3	1865	0	7
2021.07.01	12:00:00	4308.1	4308.6	4300.8	4303.8	2003	0	7
2021.07.01	13:00:00	4303.8	4303.8	4295.6	4297.6	3216	0	7
2021.07.01	14:00:00	4297.6	4304.8	4295.8	4304.6	2469	0	7
2021.07.01	15:00:00	4304.6	4306.3	4301.6	4302.8	1302	0	7
2021.07.01	16:00:00	4303.1	4309.6	4301.8	4308.1	2159	0	7
2021.07.01	17:00:00	4308.3	4312.3	4305.8	4309.6	2002	0	7
2021.07.01	18:00:00	4309.8	4312.1	4303.6	4310.3	1615	0	7
2021.07.01	19:00:00	4310.6	4311.6	4309.1	4310.1	1046	0	7
2021.07.01	20:00:00	4309.8	4317.1	4309.3	4314.3	922	0	7
2021.07.01	21:00:00	4314.3	4319.1	4313.3	4319.1	833	0	7
2021.07.01	22:00:00	4318.8	4321.6	4315.8	4320.8	1446	0	7
2021.07.02	01:00:00	4319.1	4319.8	4318.8	4319.6	155	0	7
2021.07.02	02:00:00	4319.6	4320.6	4318.3	4318.3	638	0	7
2021.07.02	03:00:00	4318.3	4323.3	4318.3	4323.1	1068	0	7
2021.07.02	04:00:00	4323.1	4323.8	4319.8	4319.8	1183	0	7
2021.07.02	05:00:00	4320.0	4322.1	4319.6	4320.6	901	0	7
2021.07.02	06:00:00	4320.6	4322.3	4320.1	4321.3	610	0	7
2021.07.02	07:00:00	4321.3	4322.6	4321.3	4321.8	285	0	7
2021.07.02	08:00:00	4321.8	4322.1	4319.3	4319.6	595	0	7
2021.07.02	09:00:00	4319.8	4320.3	4318.1	4320.1	1068	0	7
2021.07.02	10:00:00	4320.1	4327.1	4318.3	4324.8	3297	0	7
2021.07.02	11:00:00	4324.8	4325.8	4318.6	4319.8	2140	0	7
2021.07.02	12:00:00	4319.8	4322.8	4319.1	4321.1	1819	0	7
2021.07.02	13:00:00	4321.3	4323.6	4319.8	4321.8	1278	0	7
2021.07.02	14:00:00	4321.8	4324.8	4321.8	4324.1	1433	0	7
2021.07.02	15:00:00	4324.1	4333.6	4321.8	4331.1	1971	0	7
2021.07.02	16:00:00	4331.3	4334.6	4327.8	4332.8	2049	0	7
2021.07.02	17:00:00	4332.6	4334.3	4330.8	4333.8	1435	0	7
2021.07.02	18:00:00	4333.8	4341.0	4333.2	4339.2	1003	0	6
2021.07.02	19:00:00	4339.2	4347.7	4338.2	4347.5	746	0	6
2021.07.02	20:00:00	4347.5	4349.7	4345.0	4348.0	913	0	6
2021.07.02	21:00:00	4348.0	4350.5	4346.7	4347.5	726	0	6
2021.07.02	22:00:00	4347.2	4355.7	4346.7	4352.4	1385	0	6
2021.07.05	01:00:00	4349.9	4351.2	4349.7	4349.9	139	0	6
2021.07.05	02:00:00	4349.9	4350.7	4347.4	4348.2	474	0	6
2021.07.05	03:00:00	4348.2	4348.4	4343.4	4346.4	1395	0	6
2021.07.05	04:00:00	4346.4	4347.7	4345.4	4345.9	1501	0	6
2021.07.05	05:00:00	4345.9	4346.4	4344.9	4345.4	801	0	6
