<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.07.01	00:00:00	0.92494	0.92564	0.92440	0.92485	1380	0	10
2021.07.01	01:00:00	0.92489	0.92538	0.92448	0.92522	547	0	1
2021.07.01	02:00:00	0.92522	0.92522	0.92494	0.92509	312	0	3
2021.07.01	03:00:00	0.92508	0.92595	0.92508	0.92570	624	0	1
2021.07.01	04:00:00	0.92569	0.92594	0.92541	0.92570	1251	0	2
2021.07.01	05:00:00	0.92571	0.92595	0.92560	0.92565	825	0	1
2021.07.01	06:00:00	0.92565	0.92587	0.92552	0.92560	640	0	1
2021.07.01	07:00:00	0.92560	0.92588	0.92552	0.92574	779	0	1
2021.07.01	08:00:00	0.92575	0.92636	0.92567	0.92586	1276	0	1
2021.07.01	09:00:00	0.92586	0.92616	0.92496	0.92517	2924	0	1
2021.07.01	10:00:00	0.92518	0.92632	0.92467	0.92631	4000	0	1
2021.07.01	11:00:00	0.92631	0.92716	0.92608	0.92662	3903	0	1
2021.07.01	12:00:00	0.92662	0.92716	0.92537	0.92551	2860	0	1
2021.07.01	13:00:00	0.92551	0.92611	0.92498	0.92502	2781	0	1
2021.07.01	14:00:00	0.92503	0.92568	0.92469	0.92492	3361	0	1
2021.07.01	15:00:00	0.92493	0.92523	0.92409	0.92417	3558	0	1
2021.07.01	16:00:00	0.92414	0.92482	0.92377	0.92403	4447	0	1
2021.07.01	17:00:00	0.92403	0.92584	0.92357	0.92445	5428	0	1
2021.07.01	18:00:00	0.92449	0.92567	0.92420	0.92531	4139	0	1
2021.07.01	19:00:00	0.92529	0.92607	0.92507	0.92579	1967	0	1
2021.07.01	20:00:00	0.92579	0.92585	0.92530	0.92582	1675	0	1
2021.07.01	21:00:00	0.92581	0.92645	0.92577	0.92644	1377	0	1
2021.07.01	22:00:00	0.92644	0.92644	0.92570	0.92579	1093	0	1
2021.07.01	23:00:00	0.92579	0.92600	0.92532	0.92538	651	0	1
