<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.01	00:00:00	1.34707	1.34747	1.34666	1.34711	3686	0	19
2021.10.01	01:00:00	1.34711	1.34796	1.34703	1.34796	720	0	9
2021.10.01	02:00:00	1.34796	1.34799	1.34665	1.34684	771	0	0
2021.10.01	03:00:00	1.34680	1.34726	1.34540	1.34540	2259	0	0
2021.10.01	04:00:00	1.34541	1.34610	1.34443	1.34607	3690	0	0
2021.10.01	05:00:00	1.34607	1.34622	1.34525	1.34539	2046	0	0
2021.10.01	06:00:00	1.34541	1.34575	1.34526	1.34548	2530	0	0
2021.10.01	07:00:00	1.34548	1.34604	1.34507	1.34592	2257	0	0
2021.10.01	08:00:00	1.34592	1.34606	1.34477	1.34528	3297	0	0
2021.10.01	09:00:00	1.34527	1.34607	1.34418	1.34553	6717	0	0
2021.10.01	10:00:00	1.34554	1.34668	1.34334	1.34611	8062	0	0
2021.10.01	11:00:00	1.34607	1.34821	1.34491	1.34739	6541	0	0
2021.10.01	12:00:00	1.34739	1.35000	1.34734	1.34973	5005	0	0
2021.10.01	13:00:00	1.34973	1.35250	1.34891	1.35134	5551	0	0
2021.10.01	14:00:00	1.35134	1.35422	1.35098	1.35402	5701	0	0
2021.10.01	15:00:00	1.35399	1.35469	1.35253	1.35427	6781	0	0
2021.10.01	16:00:00	1.35428	1.35702	1.35385	1.35632	8280	0	0
2021.10.01	17:00:00	1.35635	1.35663	1.35350	1.35405	10375	0	0
2021.10.01	18:00:00	1.35404	1.35757	1.35362	1.35704	7814	0	0
2021.10.01	19:00:00	1.35705	1.35752	1.35590	1.35611	4658	0	0
2021.10.01	20:00:00	1.35611	1.35658	1.35576	1.35614	3000	0	0
2021.10.01	21:00:00	1.35615	1.35633	1.35509	1.35546	2135	0	1
2021.10.01	22:00:00	1.35544	1.35568	1.35470	1.35517	1450	0	2
2021.10.01	23:00:00	1.35515	1.35528	1.35415	1.35427	909	0	6
2021.10.04	00:00:00	1.35418	1.35594	1.35384	1.35425	358	0	44
2021.10.04	01:00:00	1.35441	1.35713	1.35406	1.35691	1313	0	12
2021.10.04	02:00:00	1.35695	1.35754	1.35684	1.35695	1043	0	3
2021.10.04	03:00:00	1.35699	1.35767	1.35575	1.35575	1678	0	0
2021.10.04	04:00:00	1.35575	1.35578	1.35347	1.35400	1680	0	0
2021.10.04	05:00:00	1.35400	1.35448	1.35336	1.35377	2610	0	0
2021.10.04	06:00:00	1.35377	1.35404	1.35335	1.35348	2161	0	0
2021.10.04	07:00:00	1.35347	1.35489	1.35337	1.35478	1938	0	0
2021.10.04	08:00:00	1.35478	1.35518	1.35388	1.35398	1973	0	0
2021.10.04	09:00:00	1.35393	1.35550	1.35381	1.35499	4849	0	0
2021.10.04	10:00:00	1.35500	1.35640	1.35316	1.35625	7360	0	0
2021.10.04	11:00:00	1.35625	1.35681	1.35433	1.35591	5235	0	0
2021.10.04	12:00:00	1.35592	1.35891	1.35570	1.35852	5466	0	0
2021.10.04	13:00:00	1.35852	1.35920	1.35735	1.35907	4223	0	0
2021.10.04	14:00:00	1.35911	1.36065	1.35833	1.36049	5297	0	0
2021.10.04	15:00:00	1.36049	1.36108	1.35945	1.36054	4481	0	0
2021.10.04	16:00:00	1.36054	1.36230	1.35955	1.36218	6653	0	0
2021.10.04	17:00:00	1.36218	1.36400	1.36017	1.36045	8289	0	0
2021.10.04	18:00:00	1.36045	1.36091	1.35947	1.36007	6965	0	0
2021.10.04	19:00:00	1.36006	1.36161	1.35988	1.36077	3724	0	0
2021.10.04	20:00:00	1.36077	1.36182	1.36062	1.36109	3462	0	0
2021.10.04	21:00:00	1.36109	1.36177	1.36056	1.36139	2075	0	0
2021.10.04	22:00:00	1.36139	1.36153	1.36030	1.36132	3484	0	0
2021.10.04	23:00:00	1.36130	1.36156	1.36035	1.36071	778	0	3
2021.10.05	00:00:00	1.36059	1.36088	1.36015	1.36082	420	0	27
2021.10.05	01:00:00	1.36083	1.36123	1.36047	1.36077	894	0	10
2021.10.05	02:00:00	1.36077	1.36117	1.36045	1.36064	773	0	3
2021.10.05	03:00:00	1.36066	1.36118	1.35933	1.35947	1495	0	0
2021.10.05	04:00:00	1.35947	1.35960	1.35845	1.35915	2765	0	0
2021.10.05	05:00:00	1.35913	1.36061	1.35897	1.36023	1855	0	0
2021.10.05	06:00:00	1.36023	1.36030	1.35919	1.35952	2027	0	0
2021.10.05	07:00:00	1.35952	1.35958	1.35862	1.35896	1592	0	0
2021.10.05	08:00:00	1.35896	1.35946	1.35865	1.35914	2424	0	0
2021.10.05	09:00:00	1.35916	1.36064	1.35849	1.36009	3855	0	0
2021.10.05	10:00:00	1.36009	1.36171	1.35893	1.36084	6692	0	0
2021.10.05	11:00:00	1.36083	1.36274	1.36057	1.36201	4559	0	0
2021.10.05	12:00:00	1.36201	1.36252	1.36130	1.36252	3276	0	0
2021.10.05	13:00:00	1.36251	1.36293	1.36147	1.36254	3874	0	0
2021.10.05	14:00:00	1.36254	1.36426	1.36169	1.36196	4891	0	0
2021.10.05	15:00:00	1.36191	1.36354	1.36184	1.36227	4229	0	0
2021.10.05	16:00:00	1.36226	1.36267	1.35998	1.36242	7621	0	0
2021.10.05	17:00:00	1.36238	1.36317	1.36069	1.36237	7845	0	0
2021.10.05	18:00:00	1.36237	1.36478	1.36213	1.36395	5555	0	0
2021.10.05	19:00:00	1.36395	1.36436	1.36327	1.36413	4327	0	0
2021.10.05	20:00:00	1.36413	1.36415	1.36326	1.36401	2977	0	0
2021.10.05	21:00:00	1.36400	1.36443	1.36286	1.36288	3045	0	0
2021.10.05	22:00:00	1.36288	1.36290	1.36218	1.36237	2081	0	1
2021.10.05	23:00:00	1.36236	1.36275	1.36204	1.36252	1366	0	6
2021.10.06	00:00:00	1.36228	1.36296	1.36215	1.36218	2890	0	18
2021.10.06	01:00:00	1.36230	1.36293	1.36218	1.36273	2309	0	11
2021.10.06	02:00:00	1.36273	1.36301	1.36253	1.36258	856	0	1
2021.10.06	03:00:00	1.36259	1.36312	1.36224	1.36240	1630	0	1
2021.10.06	04:00:00	1.36240	1.36290	1.36119	1.36152	2580	0	0
2021.10.06	05:00:00	1.36150	1.36231	1.36110	1.36150	1612	0	1
2021.10.06	06:00:00	1.36150	1.36163	1.36088	1.36139	1866	0	0
2021.10.06	07:00:00	1.36139	1.36145	1.35991	1.36055	1383	0	0
2021.10.06	08:00:00	1.36055	1.36150	1.36023	1.36029	2569	0	0
2021.10.06	09:00:00	1.36029	1.36139	1.35968	1.36001	4689	0	0
2021.10.06	10:00:00	1.36004	1.36062	1.35630	1.35630	7930	0	0
2021.10.06	11:00:00	1.35629	1.35764	1.35502	1.35514	6779	0	0
2021.10.06	12:00:00	1.35513	1.35607	1.35438	1.35514	5900	0	0
2021.10.06	13:00:00	1.35512	1.35737	1.35438	1.35726	5432	0	0
2021.10.06	14:00:00	1.35728	1.35782	1.35596	1.35711	5098	0	0
2021.10.06	15:00:00	1.35711	1.35905	1.35709	1.35830	6285	0	0
2021.10.06	16:00:00	1.35830	1.35909	1.35611	1.35658	7477	0	0
2021.10.06	17:00:00	1.35659	1.35823	1.35504	1.35684	9533	0	0
2021.10.06	18:00:00	1.35682	1.35727	1.35501	1.35662	6187	0	0
2021.10.06	19:00:00	1.35661	1.35732	1.35533	1.35542	4967	0	0
2021.10.06	20:00:00	1.35542	1.35770	1.35535	1.35730	4797	0	0
2021.10.06	21:00:00	1.35732	1.35860	1.35707	1.35798	5218	0	0
2021.10.06	22:00:00	1.35798	1.35891	1.35798	1.35888	3462	0	0
2021.10.06	23:00:00	1.35887	1.35906	1.35803	1.35807	1505	0	0
2021.10.07	00:00:00	1.35805	1.35843	1.35766	1.35824	356	0	16
2021.10.07	01:00:00	1.35824	1.35892	1.35820	1.35872	1078	0	9
2021.10.07	02:00:00	1.35872	1.35924	1.35856	1.35916	594	0	1
2021.10.07	03:00:00	1.35915	1.35972	1.35865	1.35931	1824	0	0
2021.10.07	04:00:00	1.35931	1.35948	1.35824	1.35856	1515	0	1
2021.10.07	05:00:00	1.35856	1.35856	1.35805	1.35814	1005	0	0
2021.10.07	06:00:00	1.35814	1.35850	1.35772	1.35838	1138	0	2
2021.10.07	07:00:00	1.35840	1.35879	1.35817	1.35819	756	0	0
2021.10.07	08:00:00	1.35819	1.35855	1.35730	1.35760	1934	0	0
2021.10.07	09:00:00	1.35760	1.36050	1.35747	1.36030	3721	0	0
2021.10.07	10:00:00	1.36030	1.36051	1.35817	1.35821	5961	0	0
2021.10.07	11:00:00	1.35819	1.35927	1.35703	1.35875	5194	0	0
2021.10.07	12:00:00	1.35872	1.36078	1.35810	1.35912	5096	0	0
2021.10.07	13:00:00	1.35913	1.35969	1.35850	1.35939	3528	0	0
2021.10.07	14:00:00	1.35939	1.36178	1.35931	1.36069	4368	0	0
2021.10.07	15:00:00	1.36068	1.36087	1.35901	1.35950	4068	0	0
