<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.01	00:00:00	1.26767	1.26839	1.26738	1.26776	324	0	30
2021.10.01	01:00:00	1.26774	1.26819	1.26771	1.26783	705	0	8
2021.10.01	02:00:00	1.26784	1.26865	1.26781	1.26842	494	0	2
2021.10.01	03:00:00	1.26851	1.27013	1.26772	1.27007	3048	0	0
2021.10.01	04:00:00	1.27007	1.27123	1.26962	1.26972	4815	0	0
2021.10.01	05:00:00	1.26972	1.27114	1.26970	1.27090	2921	0	0
2021.10.01	06:00:00	1.27090	1.27198	1.27050	1.27187	1628	0	1
2021.10.01	07:00:00	1.27187	1.27239	1.27127	1.27156	1358	0	0
2021.10.01	08:00:00	1.27155	1.27342	1.27126	1.27149	2312	0	0
2021.10.01	09:00:00	1.27151	1.27386	1.27068	1.27238	4221	0	0
2021.10.01	10:00:00	1.27237	1.27376	1.27166	1.27281	6993	0	0
2021.10.01	11:00:00	1.27285	1.27306	1.26998	1.27003	4808	0	0
2021.10.01	12:00:00	1.27002	1.27034	1.26886	1.27001	4338	0	0
2021.10.01	13:00:00	1.27003	1.27091	1.26895	1.27085	2654	0	0
2021.10.01	14:00:00	1.27085	1.27089	1.26525	1.26636	4608	0	0
2021.10.01	15:00:00	1.26636	1.26981	1.26625	1.26839	5172	0	0
2021.10.01	16:00:00	1.26833	1.26840	1.26627	1.26718	6856	0	0
2021.10.01	17:00:00	1.26742	1.26784	1.26453	1.26747	10417	0	0
2021.10.01	18:00:00	1.26746	1.26862	1.26542	1.26578	6430	0	0
2021.10.01	19:00:00	1.26575	1.26623	1.26443	1.26449	4430	0	0
2021.10.01	20:00:00	1.26449	1.26479	1.26347	1.26347	3256	0	1
2021.10.01	21:00:00	1.26347	1.26367	1.26278	1.26365	3037	0	2
2021.10.01	22:00:00	1.26365	1.26448	1.26310	1.26371	2418	0	2
2021.10.01	23:00:00	1.26368	1.26412	1.26312	1.26393	951	0	4
2021.10.04	00:00:00	1.26444	1.26444	1.26380	1.26432	230	0	28
2021.10.04	01:00:00	1.26433	1.26444	1.26132	1.26207	1623	0	7
2021.10.04	02:00:00	1.26205	1.26307	1.26203	1.26265	1530	0	0
2021.10.04	03:00:00	1.26265	1.26452	1.26184	1.26430	3023	0	0
2021.10.04	04:00:00	1.26430	1.26545	1.26341	1.26480	1850	0	0
2021.10.04	05:00:00	1.26483	1.26517	1.26304	1.26349	2036	0	0
2021.10.04	06:00:00	1.26349	1.26371	1.26306	1.26321	2184	0	2
2021.10.04	07:00:00	1.26321	1.26342	1.26180	1.26196	1589	0	0
2021.10.04	08:00:00	1.26197	1.26294	1.26149	1.26278	2516	0	0
2021.10.04	09:00:00	1.26280	1.26435	1.26240	1.26353	3161	0	0
2021.10.04	10:00:00	1.26352	1.26465	1.26248	1.26271	7104	0	0
2021.10.04	11:00:00	1.26268	1.26346	1.26165	1.26214	4026	0	0
2021.10.04	12:00:00	1.26211	1.26217	1.26050	1.26161	4190	0	0
2021.10.04	13:00:00	1.26160	1.26278	1.26125	1.26148	3432	0	0
2021.10.04	14:00:00	1.26159	1.26281	1.26067	1.26084	3601	0	0
2021.10.04	15:00:00	1.26084	1.26155	1.25929	1.25985	3841	0	0
2021.10.04	16:00:00	1.25985	1.26013	1.25611	1.25681	6507	0	0
2021.10.04	17:00:00	1.25684	1.25837	1.25574	1.25745	8147	0	0
2021.10.04	18:00:00	1.25744	1.25920	1.25711	1.25735	5675	0	0
2021.10.04	19:00:00	1.25739	1.25827	1.25704	1.25788	4173	0	0
2021.10.04	20:00:00	1.25792	1.25843	1.25719	1.25824	3803	0	2
2021.10.04	21:00:00	1.25823	1.25870	1.25761	1.25814	5202	0	2
2021.10.04	22:00:00	1.25814	1.25899	1.25771	1.25778	4961	0	2
2021.10.04	23:00:00	1.25778	1.25900	1.25773	1.25881	1102	0	4
2021.10.05	00:00:00	1.25874	1.25895	1.25828	1.25837	379	0	26
2021.10.05	01:00:00	1.25838	1.25885	1.25836	1.25884	757	0	8
2021.10.05	02:00:00	1.25884	1.25925	1.25839	1.25898	788	0	3
2021.10.05	03:00:00	1.25899	1.26044	1.25848	1.26040	2756	0	0
2021.10.05	04:00:00	1.26040	1.26168	1.26013	1.26095	2431	0	0
2021.10.05	05:00:00	1.26094	1.26125	1.26025	1.26042	1851	0	0
2021.10.05	06:00:00	1.26041	1.26159	1.26031	1.26135	2038	0	1
2021.10.05	07:00:00	1.26134	1.26233	1.26131	1.26192	1780	0	0
2021.10.05	08:00:00	1.26191	1.26252	1.26155	1.26217	1651	0	0
2021.10.05	09:00:00	1.26215	1.26301	1.26079	1.26091	2921	0	0
2021.10.05	10:00:00	1.26092	1.26162	1.25995	1.26049	4429	0	0
2021.10.05	11:00:00	1.26049	1.26063	1.25881	1.25929	3387	0	0
2021.10.05	12:00:00	1.25924	1.25994	1.25863	1.25933	2572	0	0
2021.10.05	13:00:00	1.25933	1.26057	1.25905	1.26000	2312	0	0
2021.10.05	14:00:00	1.26000	1.26005	1.25826	1.25925	3266	0	0
2021.10.05	15:00:00	1.25927	1.25955	1.25815	1.25921	3043	0	0
2021.10.05	16:00:00	1.25921	1.26022	1.25670	1.25718	5920	0	0
2021.10.05	17:00:00	1.25719	1.25819	1.25551	1.25677	5860	0	0
2021.10.05	18:00:00	1.25677	1.25706	1.25457	1.25620	4268	0	0
2021.10.05	19:00:00	1.25620	1.25783	1.25595	1.25758	2893	0	0
2021.10.05	20:00:00	1.25758	1.25785	1.25695	1.25758	2420	0	0
2021.10.05	21:00:00	1.25757	1.25846	1.25730	1.25777	2528	0	2
2021.10.05	22:00:00	1.25777	1.25852	1.25775	1.25785	2226	0	3
2021.10.05	23:00:00	1.25785	1.25813	1.25740	1.25798	1323	0	7
2021.10.06	00:00:00	1.25791	1.25827	1.25608	1.25799	495	0	25
2021.10.06	01:00:00	1.25798	1.25808	1.25771	1.25794	501	0	14
2021.10.06	02:00:00	1.25795	1.25861	1.25787	1.25830	1051	0	3
2021.10.06	03:00:00	1.25831	1.25917	1.25826	1.25856	2583	0	0
2021.10.06	04:00:00	1.25856	1.26013	1.25812	1.25951	3991	0	1
2021.10.06	05:00:00	1.25951	1.26006	1.25855	1.25934	2702	0	1
2021.10.06	06:00:00	1.25934	1.26022	1.25933	1.25979	2262	0	1
2021.10.06	07:00:00	1.25979	1.26137	1.25962	1.26046	1772	0	0
2021.10.06	08:00:00	1.26046	1.26071	1.25936	1.26051	1838	0	0
2021.10.06	09:00:00	1.26052	1.26100	1.25916	1.26068	3840	0	0
2021.10.06	10:00:00	1.26070	1.26416	1.26063	1.26397	5941	0	0
2021.10.06	11:00:00	1.26398	1.26463	1.26267	1.26350	4857	0	0
2021.10.06	12:00:00	1.26351	1.26457	1.26279	1.26361	4279	0	0
2021.10.06	13:00:00	1.26361	1.26478	1.26355	1.26413	3460	0	0
2021.10.06	14:00:00	1.26415	1.26438	1.26302	1.26397	3452	0	0
2021.10.06	15:00:00	1.26398	1.26398	1.26063	1.26234	4580	0	0
2021.10.06	16:00:00	1.26234	1.26395	1.26054	1.26326	5196	0	0
2021.10.06	17:00:00	1.26326	1.26452	1.26099	1.26342	7075	0	0
2021.10.06	18:00:00	1.26342	1.26445	1.26112	1.26145	5560	0	0
2021.10.06	19:00:00	1.26146	1.26236	1.26116	1.26176	4983	0	0
2021.10.06	20:00:00	1.26175	1.26175	1.25933	1.25933	3700	0	1
2021.10.06	21:00:00	1.25929	1.25957	1.25838	1.25916	4827	0	2
2021.10.06	22:00:00	1.25914	1.25950	1.25868	1.25885	3786	0	3
2021.10.06	23:00:00	1.25885	1.25924	1.25863	1.25885	996	0	5
2021.10.07	00:00:00	1.25884	1.25929	1.25838	1.25906	392	0	16
2021.10.07	01:00:00	1.25887	1.25914	1.25846	1.25900	1173	0	6
2021.10.07	02:00:00	1.25899	1.25904	1.25844	1.25858	1157	0	4
2021.10.07	03:00:00	1.25858	1.25908	1.25718	1.25803	2625	0	0
2021.10.07	04:00:00	1.25802	1.25889	1.25740	1.25772	2674	0	1
2021.10.07	05:00:00	1.25771	1.25886	1.25764	1.25862	2397	0	1
2021.10.07	06:00:00	1.25861	1.25916	1.25844	1.25854	1223	0	1
2021.10.07	07:00:00	1.25855	1.25885	1.25814	1.25878	901	0	1
2021.10.07	08:00:00	1.25878	1.25929	1.25838	1.25892	2462	0	0
2021.10.07	09:00:00	1.25892	1.25896	1.25649	1.25704	2776	0	0
2021.10.07	10:00:00	1.25704	1.25839	1.25637	1.25789	4167	0	0
2021.10.07	11:00:00	1.25789	1.25993	1.25776	1.25882	3235	0	0
2021.10.07	12:00:00	1.25883	1.25905	1.25790	1.25847	2647	0	0
2021.10.07	13:00:00	1.25849	1.25861	1.25769	1.25844	1896	0	0
2021.10.07	14:00:00	1.25845	1.25850	1.25702	1.25799	2510	0	0
2021.10.07	15:00:00	1.25798	1.25838	1.25717	1.25782	3353	0	0
2021.10.07	16:00:00	1.25782	1.25942	1.25635	1.25710	5956	0	0
2021.10.07	17:00:00	1.25710	1.25747	1.25452	1.25492	4584	0	0
2021.10.07	18:00:00	1.25493	1.25528	1.25404	1.25468	3042	0	0
2021.10.07	19:00:00	1.25468	1.25578	1.25445	1.25575	2106	0	0
2021.10.07	20:00:00	1.25575	1.25643	1.25429	1.25462	2065	0	1
2021.10.07	21:00:00	1.25463	1.25606	1.25449	1.25513	3139	0	3
2021.10.07	22:00:00	1.25513	1.25588	1.25407	1.25424	3271	0	2
2021.10.07	23:00:00	1.25424	1.25526	1.25407	1.25502	1081	0	6
2021.10.08	00:00:00	1.25482	1.25529	1.25448	1.25494	378	0	15
2021.10.08	01:00:00	1.25494	1.25519	1.25485	1.25514	549	0	10
2021.10.08	02:00:00	1.25515	1.25545	1.25469	1.25477	1265	0	3
2021.10.08	03:00:00	1.25479	1.25624	1.25448	1.25449	2657	0	1
2021.10.08	04:00:00	1.25449	1.25478	1.25409	1.25471	1877	0	1
2021.10.08	05:00:00	1.25470	1.25477	1.25331	1.25342	1994	0	1
2021.10.08	06:00:00	1.25342	1.25524	1.25338	1.25487	1670	0	2
2021.10.08	07:00:00	1.25487	1.25584	1.25436	1.25572	1080	0	0
2021.10.08	08:00:00	1.25571	1.25576	1.25490	1.25553	1796	0	0
2021.10.08	09:00:00	1.25553	1.25584	1.25503	1.25547	2446	0	0
2021.10.08	10:00:00	1.25546	1.25590	1.25440	1.25453	4722	0	0
2021.10.08	11:00:00	1.25454	1.25546	1.25430	1.25458	2521	0	0
2021.10.08	12:00:00	1.25456	1.25486	1.25396	1.25397	1883	0	0
2021.10.08	13:00:00	1.25399	1.25419	1.25329	1.25409	1502	0	0
2021.10.08	14:00:00	1.25409	1.25441	1.25359	1.25399	1258	0	0
2021.10.08	15:00:00	1.25398	1.25402	1.24898	1.25008	6731	0	0
2021.10.08	16:00:00	1.25009	1.25192	1.24871	1.25058	8595	0	0
2021.10.08	17:00:00	1.25059	1.25059	1.24531	1.24589	7614	0	0
2021.10.08	18:00:00	1.24590	1.24839	1.24517	1.24784	4398	0	0
2021.10.08	19:00:00	1.24784	1.24922	1.24744	1.24764	2550	0	0
2021.10.08	20:00:00	1.24764	1.24840	1.24634	1.24652	1845	0	2
2021.10.08	21:00:00	1.24653	1.24684	1.24578	1.24590	3023	0	3
2021.10.08	22:00:00	1.24590	1.24756	1.24576	1.24699	1365	0	3
2021.10.08	23:00:00	1.24699	1.24752	1.24684	1.24740	822	0	7
2021.10.11	00:00:00	1.24701	1.24763	1.24701	1.24734	293	0	51
2021.10.11	01:00:00	1.24737	1.24822	1.24632	1.24762	1047	0	10
2021.10.11	02:00:00	1.24761	1.24861	1.24733	1.24844	1032	0	2
2021.10.11	03:00:00	1.24844	1.24863	1.24621	1.24674	2383	0	0
2021.10.11	04:00:00	1.24671	1.24691	1.24499	1.24623	2573	0	0
2021.10.11	05:00:00	1.24622	1.24669	1.24586	1.24651	1494	0	1
2021.10.11	06:00:00	1.24651	1.24705	1.24606	1.24645	1011	0	1
2021.10.11	07:00:00	1.24648	1.24676	1.24598	1.24605	520	0	0
2021.10.11	08:00:00	1.24610	1.24664	1.24499	1.24501	1632	0	0
