<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.04	140.657	141.307	139.689	139.903	103139	0	0
2021.01.05	139.902	140.152	139.509	139.964	101518	0	0
2021.01.06	139.963	140.578	139.746	140.217	129645	0	0
2021.01.07	140.196	140.998	140.056	140.751	103426	0	0
2021.01.08	140.755	141.373	140.650	140.989	108440	0	0
2021.01.11	140.650	141.001	140.339	140.878	92863	0	0
2021.01.12	140.879	142.029	140.675	141.769	91934	0	0
2021.01.13	141.795	142.254	141.528	141.637	83567	0	0
2021.01.14	141.634	142.236	141.587	142.075	90616	0	0
2021.01.15	142.064	142.118	140.956	141.070	82780	0	0
2021.01.18	140.958	141.207	140.356	140.862	64966	0	0
2021.01.19	140.870	141.734	140.745	141.563	77964	0	0
2021.01.20	141.568	142.334	141.076	141.329	82749	0	0
2021.01.21	141.326	142.217	141.283	142.108	80614	0	0
2021.01.22	142.119	142.202	141.510	141.977	72229	0	0
2021.01.25	141.940	142.322	141.654	141.870	76733	0	0
2021.01.26	141.869	142.456	141.278	142.305	74877	0	0
2021.01.27	142.305	142.861	142.195	142.481	84935	0	0
2021.01.28	142.428	143.270	142.190	143.041	92337	0	0
2021.01.29	143.041	143.957	142.809	143.462	100628	0	0
2021.02.01	143.542	144.103	143.322	143.349	84760	0	0
2021.02.02	143.349	143.778	143.130	143.463	78453	0	0
2021.02.03	143.465	143.686	143.111	143.287	68060	0	0
2021.02.04	143.299	144.365	142.837	144.261	75075	0	0
2021.02.05	144.261	144.891	143.984	144.753	71090	0	0
2021.02.08	144.413	144.929	144.390	144.528	66417	0	0
2021.02.09	144.519	144.669	144.032	144.470	73651	0	0
2021.02.10	144.474	145.064	144.370	144.652	69511	0	0
2021.02.11	144.637	144.902	144.563	144.658	95657	0	0
2021.02.12	144.697	145.481	144.498	145.356	120223	0	0
2021.02.15	145.214	146.635	145.207	146.479	106900	0	0
2021.02.16	146.460	147.462	146.364	147.408	151376	0	0
2021.02.17	147.407	147.569	146.419	146.653	161838	0	0
2021.02.18	146.580	147.786	146.550	147.692	144898	0	0
2021.02.19	147.696	148.159	147.285	147.639	142010	0	0
2021.02.22	147.589	148.293	147.544	147.746	133982	0	0
2021.02.23	147.740	148.612	147.600	148.471	127251	0	0
2021.02.24	148.468	150.117	148.268	149.710	166775	0	0
2021.02.25	149.701	150.440	148.480	148.802	208002	0	3
2021.02.26	148.949	149.166	147.404	148.394	262421	0	3
2021.03.01	148.288	149.298	148.264	148.659	173467	0	0
2021.03.02	148.658	149.195	148.113	148.853	134207	0	3
2021.03.03	148.855	149.694	148.764	149.275	124929	0	3
2021.03.04	149.273	150.730	149.046	149.997	150278	0	0
2021.03.05	150.003	150.369	149.358	149.880	131209	0	0
2021.03.08	149.412	150.699	149.412	150.493	170533	0	0
2021.03.09	150.481	151.279	150.357	150.631	169388	0	0
2021.03.10	150.650	151.188	150.400	150.933	151526	0	0
2021.03.11	150.926	151.833	150.874	151.789	141806	0	0
2021.03.12	151.784	152.235	151.228	151.753	139690	0	2
2021.03.15	151.664	152.115	151.199	151.702	126921	0	2
2021.03.16	151.699	151.750	150.787	151.405	120867	0	2
2021.03.17	151.405	152.068	151.341	151.946	126314	0	2
2021.03.18	151.940	152.548	151.457	151.694	143362	0	2
2021.03.19	151.696	151.803	150.565	150.935	131142	0	2
2021.03.22	150.375	150.931	150.267	150.833	109150	0	2
2021.03.23	150.832	150.874	149.081	149.343	124345	0	2
2021.03.24	149.343	149.444	148.528	148.773	118452	0	2
2021.03.25	148.780	150.055	148.759	149.955	121453	0	2
2021.03.26	149.955	151.544	149.913	151.262	106119	0	2
2021.03.29	151.008	151.808	150.580	151.073	111773	0	2
2021.03.30	151.055	151.941	150.984	151.613	109474	0	2
2021.03.31	151.604	152.783	151.342	152.564	82409	0	2
2021.04.01	152.519	153.067	152.292	152.983	71477	0	2
2021.04.02	152.976	153.198	152.697	152.929	55000	0	2
2021.04.05	152.805	153.363	152.805	153.111	68681	0	2
2021.04.06	153.089	153.413	151.679	151.692	100748	0	2
2021.04.07	151.685	152.071	150.656	150.889	106921	0	2
2021.04.08	150.881	151.088	149.883	150.042	93840	0	2
2021.04.09	150.044	150.933	149.592	150.258	96385	0	2
2021.04.12	150.155	150.588	149.757	150.279	82260	0	2
2021.04.13	150.279	150.827	149.669	149.965	99340	0	2
2021.04.14	149.958	150.456	149.584	150.059	77779	0	2
2021.04.15	150.056	150.201	149.684	149.903	71255	0	2
2021.04.16	149.920	150.574	149.383	150.569	70822	0	2
2021.04.19	150.385	151.321	149.891	151.255	91048	0	2
2021.04.20	151.255	151.981	150.560	150.620	81602	0	2
2021.04.21	150.617	150.970	150.043	150.505	71724	0	0
2021.04.22	150.451	150.650	149.392	149.392	74020	0	0
2021.04.23	149.392	149.951	149.059	149.774	70885	0	0
2021.04.26	149.599	150.379	149.536	150.204	69313	0	0
2021.04.27	150.192	151.248	150.111	151.214	64088	0	0
2021.04.28	151.170	151.568	151.008	151.273	78343	0	0
2021.04.29	151.281	152.406	151.097	151.824	72765	0	0
2021.04.30	151.819	152.113	150.873	151.010	74639	0	0
2021.05.03	150.703	151.929	150.676	151.683	59976	0	0
2021.05.04	151.688	152.056	150.996	151.813	85510	0	0
2021.05.05	151.815	152.230	151.632	151.795	64779	0	0
2021.05.06	151.795	152.122	151.247	151.524	89124	0	0
2021.05.07	151.453	152.114	151.263	151.900	92925	0	0
2021.05.10	151.993	154.023	151.909	153.522	96629	0	0
2021.05.11	153.587	153.960	153.148	153.585	96935	0	0
2021.05.12	153.548	154.432	153.487	154.089	101334	0	0
2021.05.13	154.083	154.335	153.467	153.747	95201	0	0
2021.05.14	153.747	154.285	153.560	154.160	72729	0	0
2021.05.17	153.936	154.464	153.732	154.315	73521	0	0
2021.05.18	154.249	154.830	154.218	154.462	78606	0	0
2021.05.19	154.464	154.810	153.539	154.139	105033	0	0
2021.05.20	154.145	154.413	153.623	154.331	84680	0	0
2021.05.21	154.337	154.675	154.011	154.166	78879	0	0
2021.05.24	153.934	154.193	153.769	153.902	76804	0	0
2021.05.25	153.916	154.449	153.734	153.872	93290	0	0
2021.05.26	153.873	154.344	153.773	154.070	84729	0	0
2021.05.27	154.065	156.074	153.840	155.952	104364	0	0
2021.05.28	155.847	156.058	155.587	155.879	101350	0	0
2021.05.31	155.480	155.914	155.298	155.633	67518	0	0
2021.06.01	155.628	155.940	154.838	154.838	92233	0	0
2021.06.02	154.836	155.501	154.750	155.198	90202	0	0
2021.06.03	155.197	155.818	155.141	155.540	95875	0	0
2021.06.04	155.560	155.758	155.032	155.130	87148	0	0
2021.06.07	155.048	155.284	154.548	154.894	80815	0	0
2021.06.08	154.884	155.091	154.555	154.977	82920	0	0
2021.06.09	154.969	155.315	154.480	154.708	70128	0	0
2021.06.10	154.708	155.214	154.131	154.951	97293	0	0
2021.06.11	154.953	155.208	154.639	154.794	83741	0	0
2021.06.14	154.465	155.346	154.320	155.270	77696	0	0
2021.06.15	155.272	155.484	154.536	155.012	78984	0	0
2021.06.16	154.994	155.381	154.668	154.836	86122	0	0
2021.06.17	154.784	155.017	153.138	153.412	110701	0	0
2021.06.18	153.412	153.775	151.988	152.056	98444	0	0
2021.06.21	152.027	153.732	151.312	153.613	118776	0	0
2021.06.22	153.613	154.467	153.094	154.306	90859	0	0
2021.06.23	154.175	155.155	154.113	154.879	96837	0	0
2021.06.24	154.876	155.143	153.826	154.327	99417	0	0
2021.06.25	154.321	154.533	153.599	153.780	83103	0	0
2021.06.28	153.785	154.227	153.388	153.560	84553	0	0
2021.06.29	153.560	153.587	152.614	152.852	89107	0	0
2021.06.30	152.852	153.754	152.664	153.646	102740	0	0
2021.07.01	153.647	153.974	153.351	153.487	92384	0	0
2021.07.02	153.487	153.723	153.083	153.565	95335	0	0
2021.07.05	153.356	153.747	153.344	153.507	77592	0	0
2021.07.06	153.411	154.073	152.354	152.601	106742	0	0
2021.07.07	152.603	153.172	152.287	152.638	114024	0	0
2021.07.08	152.602	152.740	150.665	151.333	128151	0	0
2021.07.09	151.119	153.078	150.927	153.049	106289	0	0
2021.07.12	152.824	153.342	152.407	153.185	77712	0	0
2021.07.13	153.189	153.485	152.410	152.745	88169	0	0
2021.07.14	152.743	153.296	152.336	152.381	90865	0	0
2021.07.15	152.375	152.802	151.608	151.843	98037	0	0
2021.07.16	151.843	152.609	151.425	151.522	88008	0	0
2021.07.19	151.354	151.685	149.327	149.644	122732	0	0
2021.07.20	149.659	149.974	148.459	149.655	108742	0	0
2021.07.21	149.540	151.342	149.288	151.191	92187	0	0
2021.07.22	151.191	151.912	150.736	151.609	90756	0	0
2021.07.23	151.603	152.160	151.405	151.964	82654	0	0
2021.07.26	151.758	152.606	151.401	152.484	83977	0	0
2021.07.27	152.484	152.580	151.573	152.284	95949	0	0
2021.07.28	152.304	152.992	152.118	152.762	91478	0	0
2021.07.29	152.754	153.443	152.513	152.752	76538	0	0
2021.07.30	152.749	153.212	152.439	152.503	74240	0	0
2021.08.02	152.279	152.858	151.534	151.680	70112	0	0
2021.08.03	151.680	152.197	151.167	151.681	74547	0	0
2021.08.04	151.684	152.509	151.513	152.031	77970	0	0
2021.08.05	152.032	153.029	151.985	152.843	72876	0	0
2021.08.06	152.842	153.246	152.654	152.920	64157	0	0
2021.08.09	152.801	153.068	152.576	152.743	67586	0	0
2021.08.10	152.743	153.311	152.612	152.956	59414	0	0
2021.08.11	152.956	153.295	152.829	153.048	63727	0	0
2021.08.12	153.070	153.198	152.329	152.463	53093	0	0
2021.08.13	152.290	152.549	151.925	152.003	48305	0	0
2021.08.16	151.759	152.197	150.921	151.227	63486	0	0
2021.08.17	151.227	151.335	150.350	150.585	70569	0	0
2021.08.18	150.428	151.408	150.229	150.960	67221	0	0
2021.08.19	150.960	151.213	149.597	149.597	84772	0	0
2021.08.20	149.597	149.884	149.185	149.577	68182	0	0
2021.08.23	149.270	150.757	149.270	150.446	65350	0	0
2021.08.24	150.371	151.012	150.056	150.505	61068	0	0
2021.08.25	150.459	151.458	150.352	151.346	66107	0	0
2021.08.26	151.303	151.592	150.614	150.804	79229	0	0
2021.08.27	150.766	151.516	150.457	151.121	74824	0	0
2021.08.30	151.049	151.286	150.948	151.204	53435	0	0
2021.08.31	151.176	151.591	151.062	151.312	87486	0	0
2021.09.01	151.280	151.949	151.100	151.458	79713	0	0
2021.09.02	151.458	152.198	151.348	152.049	65089	0	0
2021.09.03	152.033	152.294	151.778	152.046	81649	0	0
2021.09.06	151.902	152.258	151.797	151.965	46311	0	0
2021.09.07	151.930	152.219	151.496	151.989	81143	0	0
2021.09.08	151.953	152.091	151.466	151.814	107259	0	0
2021.09.09	151.791	152.168	151.420	151.769	112613	0	0
2021.09.10	151.726	152.637	151.701	151.999	89251	0	0
2021.09.13	151.806	152.325	151.806	152.196	101684	0	0
2021.09.14	152.069	152.847	151.322	151.462	94866	0	0
2021.09.15	151.419	151.559	150.828	151.355	93632	0	0
2021.09.16	151.350	151.565	150.872	151.325	88657	0	0
2021.09.17	151.331	151.930	150.956	150.959	89624	0	0
2021.09.20	150.816	151.141	149.178	149.387	99834	0	0
2021.09.21	149.387	150.136	148.952	149.169	103941	0	0
2021.09.22	149.127	149.955	149.010	149.461	112030	0	0
2021.09.23	149.464	151.480	149.349	151.346	112487	0	0
2021.09.24	151.347	151.735	151.000	151.399	92849	0	0
2021.09.27	151.219	152.196	151.119	152.016	96791	0	0
2021.09.28	152.042	152.571	150.541	150.901	128856	0	0
2021.09.29	150.901	151.198	149.909	150.307	124705	0	0
2021.09.30	150.274	150.948	149.800	149.907	129250	0	0
2021.10.01	149.862	150.742	149.226	150.426	149908	0	0
2021.10.04	150.384	151.525	150.185	150.959	129079	0	0
2021.10.05	150.958	152.051	150.745	151.894	114429	0	0
2021.10.06	151.894	152.152	150.813	151.307	145725	0	0
2021.10.07	151.276	152.087	151.029	151.973	98765	0	0
2021.10.08	151.945	152.938	151.859	152.838	110720	0	0
2021.10.11	152.606	154.508	152.603	154.005	100169	0	0
2021.10.12	154.000	154.822	153.684	154.343	112562	0	0
2021.10.13	154.256	154.955	154.108	154.658	110744	0	0
2021.10.14	154.622	155.741	154.513	155.405	89295	0	0
