<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.04	1.08696	1.09462	1.07808	1.08319	157687	203037774000	0
2016.01.05	1.08274	1.08386	1.07104	1.07463	132203	183164305000	0
2016.01.06	1.07464	1.07992	1.07127	1.07796	149117	199604728000	7
2016.01.07	1.07789	1.09399	1.07707	1.09287	177685	235053822000	0
2016.01.08	1.09243	1.09331	1.08028	1.09245	172703	224941239000	0
2016.01.11	1.09171	1.09697	1.08476	1.08581	153753	208525277000	5
2016.01.12	1.08568	1.08999	1.08193	1.08570	159298	218747711000	0
2016.01.13	1.08579	1.08870	1.08046	1.08757	165246	238781195000	7
2016.01.14	1.08739	1.09429	1.08342	1.08634	181007	261259365000	7
2016.01.15	1.08647	1.09844	1.08543	1.09132	184568	257717789000	7
2016.01.18	1.09206	1.09273	1.08684	1.08941	128564	172660744000	0
2016.01.19	1.08894	1.09389	1.08591	1.09065	163116	235771451000	0
2016.01.20	1.09051	1.09757	1.08769	1.08883	192784	297034930000	0
2016.01.21	1.08876	1.09208	1.07770	1.08726	208559	304320742000	0
2016.01.22	1.08727	1.08763	1.07888	1.07965	166857	257346292000	0
2016.01.25	1.07886	1.08566	1.07886	1.08475	153222	244097483000	7
2016.01.26	1.08474	1.08740	1.08185	1.08683	148897	233799945000	0
2016.01.27	1.08685	1.09163	1.08503	1.08920	176075	254195909000	0
2016.01.28	1.08925	1.09674	1.08694	1.09390	170459	224201936000	7
2016.01.29	1.09384	1.09483	1.08096	1.08300	209310	270680610000	7
2016.02.01	1.08297	1.09125	1.08142	1.08873	149072	178886003000	7
2016.02.02	1.08873	1.09397	1.08819	1.09177	151389	173470199000	7
2016.02.03	1.09158	1.11452	1.09034	1.11017	200352	225776652000	7
2016.02.04	1.11016	1.12387	1.10693	1.12067	225686	292074146000	7
2016.02.05	1.12053	1.12468	1.11084	1.11578	187784	286719575000	7
2016.02.08	1.11415	1.12155	1.10862	1.11912	189737	308947652000	7
2016.02.09	1.11910	1.13378	1.11620	1.12940	231656	335088672000	7
2016.02.10	1.12903	1.13111	1.11602	1.12889	229356	338417156000	0
2016.02.11	1.12899	1.13761	1.12736	1.13218	253405	303158864000	7
2016.02.12	1.13220	1.13337	1.12138	1.12503	208643	285054807000	0
2016.02.15	1.12336	1.12495	1.11276	1.11531	159956	216456387000	7
2016.02.16	1.11530	1.11928	1.11239	1.11423	168249	252286628000	0
