<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	0.98367	0.99196	0.97965	0.98997	42949	0	5
2019.01.03	0.98991	0.99078	0.98456	0.98666	67947	0	8
2019.01.04	0.98665	0.99073	0.98520	0.98623	54975	0	5
2019.01.07	0.98599	0.98718	0.97871	0.97957	39758	0	8
2019.01.08	0.97953	0.98337	0.97875	0.98116	39481	0	7
2019.01.09	0.98114	0.98174	0.97320	0.97430	77910	0	3
2019.01.10	0.97427	0.98487	0.97160	0.98428	73089	0	3
2019.01.11	0.98442	0.98554	0.98130	0.98386	48014	0	3
2019.01.14	0.98371	0.98471	0.97998	0.98083	34791	0	7
2019.01.15	0.98082	0.98932	0.98015	0.98768	46998	0	5
2019.01.16	0.98759	0.99093	0.98718	0.99018	36323	0	8
2019.01.17	0.99032	0.99537	0.98914	0.99413	36965	0	6
2019.01.18	0.99411	0.99584	0.99317	0.99552	33329	0	6
2019.01.21	0.99330	0.99872	0.99294	0.99722	24482	0	6
2019.01.22	0.99697	0.99854	0.99585	0.99717	43161	0	7
2019.01.23	0.99719	0.99894	0.99391	0.99471	48165	0	8
2019.01.24	0.99480	0.99762	0.99340	0.99617	66057	0	8
2019.01.25	0.99612	0.99737	0.99214	0.99311	67920	0	8
2019.01.28	0.99278	0.99348	0.99048	0.99184	46464	0	6
2019.01.29	0.99183	0.99566	0.99048	0.99454	59880	0	6
2019.01.30	0.99463	0.99944	0.99314	0.99409	64292	0	8
2019.01.31	0.99408	0.99521	0.99071	0.99421	64008	0	8
2019.02.01	0.99439	0.99625	0.99213	0.99531	59590	0	7
2019.02.04	0.99399	0.99937	0.99356	0.99771	47080	0	7
2019.02.05	0.99780	1.00202	0.99713	0.99973	48438	0	8
2019.02.06	0.99986	1.00261	0.99849	1.00220	51228	0	5
2019.02.07	1.00237	1.00282	0.99996	1.00221	49532	0	6
2019.02.08	1.00230	1.00272	0.99953	1.00000	41118	0	5
2019.02.11	0.99994	1.00966	0.99734	1.00389	32447	0	6
2019.02.12	1.00403	1.00921	1.00330	1.00651	40755	0	7
2019.02.13	1.00624	1.00922	1.00428	1.00904	47406	0	6
2019.02.14	1.00921	1.00975	1.00442	1.00481	53338	0	6
2019.02.15	1.00497	1.00889	1.00443	1.00491	44194	0	4
2019.02.18	1.00454	1.00539	1.00233	1.00399	27327	0	6
2019.02.19	1.00398	1.00601	1.00012	1.00086	48505	0	3
2019.02.20	1.00112	1.00203	0.99808	1.00064	54156	0	4
