<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	0.96879	0.97325	0.96813	0.97114	23680	0	1
2020.01.03	0.97102	0.97434	0.96879	0.97237	32436	0	1
2020.01.06	0.96997	0.97164	0.96759	0.96786	30351	0	2
2020.01.07	0.96785	0.97297	0.96750	0.97012	32396	0	1
2020.01.08	0.97012	0.97393	0.96649	0.97373	63576	0	4
2020.01.09	0.97374	0.97478	0.97108	0.97297	34982	0	4
2020.01.10	0.97283	0.97617	0.97195	0.97279	29961	0	4
2020.01.13	0.97200	0.97364	0.96937	0.97054	26601	0	2
2020.01.14	0.97054	0.97129	0.96651	0.96698	32992	0	4
2020.01.15	0.96697	0.96797	0.96300	0.96407	35637	0	4
2020.01.16	0.96397	0.96519	0.96126	0.96475	28182	0	4
2020.01.17	0.96475	0.96951	0.96441	0.96762	27410	0	4
2020.01.20	0.96744	0.96989	0.96722	0.96777	18878	0	3
2020.01.21	0.96781	0.96897	0.96607	0.96862	31671	0	4
2020.01.22	0.96861	0.97286	0.96773	0.96776	35627	0	4
2020.01.23	0.96772	0.97029	0.96683	0.96880	34442	0	4
2020.01.24	0.96881	0.97175	0.96842	0.97101	28897	0	4
2020.01.27	0.97023	0.97187	0.96814	0.96930	31879	0	4
2020.01.28	0.96930	0.97410	0.96782	0.97304	24734	0	5
2020.01.29	0.97304	0.97663	0.97244	0.97297	25985	0	4
2020.01.30	0.97292	0.97364	0.96796	0.96932	33992	0	4
2020.01.31	0.96929	0.97126	0.96284	0.96326	40027	0	4
2020.02.03	0.96291	0.96726	0.96284	0.96568	43085	0	4
2020.02.04	0.96568	0.97038	0.96519	0.96896	36643	0	4
2020.02.05	0.96889	0.97472	0.96776	0.97326	36318	0	2
2020.02.06	0.97326	0.97560	0.97305	0.97468	33317	0	4
2020.02.07	0.97467	0.97807	0.97393	0.97754	40787	0	4
2020.02.10	0.97672	0.97833	0.97626	0.97710	39420	0	5
2020.02.11	0.97705	0.97885	0.97504	0.97575	36877	0	3
2020.02.12	0.97574	0.97847	0.97405	0.97807	35031	0	4
2020.02.13	0.97776	0.97954	0.97604	0.97933	40385	0	4
2020.02.14	0.97930	0.98219	0.97867	0.98209	28800	0	4
2020.02.17	0.98129	0.98266	0.98056	0.98060	21546	0	2
2020.02.18	0.98060	0.98388	0.97961	0.98310	27525	0	4
2020.02.19	0.98306	0.98442	0.98252	0.98361	26129	0	4
2020.02.20	0.98362	0.98479	0.98147	0.98390	38258	0	4
