<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.04	3761.0	3783.3	3662.6	3703.7	47505	0	3
2021.01.05	3698.2	3739.2	3683.2	3726.8	53868	0	2
2021.01.06	3723.4	3784.3	3695.4	3751.0	70981	0	2
2021.01.07	3759.0	3812.9	3751.2	3804.3	38114	0	3
2021.01.08	3802.3	3827.5	3784.0	3825.2	43756	0	3
2021.01.11	3822.4	3822.9	3785.2	3801.0	42169	0	3
2021.01.12	3804.7	3815.4	3774.7	3798.9	36700	0	3
2021.01.13	3804.7	3822.2	3783.2	3808.9	27668	0	3
2021.01.14	3814.4	3826.0	3792.5	3796.8	25518	0	3
2021.01.15	3802.5	3803.8	3747.8	3768.7	37268	0	2
2021.01.18	3766.5	3776.0	3748.4	3775.8	15607	0	3
2021.01.19	3779.2	3804.4	3777.9	3798.4	20694	0	4
2021.01.20	3810.6	3859.5	3795.8	3851.8	18721	0	5
2021.01.21	3855.0	3866.2	3843.7	3853.7	19117	0	3
2021.01.22	3851.1	3855.0	3820.2	3840.2	22925	0	2
2021.01.25	3849.8	3860.7	3798.9	3856.6	39055	0	2
2021.01.26	3854.7	3870.5	3829.8	3849.5	36387	0	2
2021.01.27	3858.4	3858.9	3731.5	3751.0	61133	0	2
2021.01.28	3725.4	3830.7	3711.1	3785.2	68478	0	7
2021.01.29	3781.5	3783.2	3692.5	3710.2	83314	0	7
2021.02.01	3675.5	3783.7	3675.5	3770.5	56199	0	7
2021.02.02	3777.7	3842.9	3767.3	3825.0	33231	0	7
2021.02.03	3838.5	3850.7	3815.5	3829.5	31173	0	7
2021.02.04	3840.4	3873.2	3819.2	3872.4	24959	0	6
2021.02.05	3871.4	3895.1	3866.9	3887.4	20612	0	7
2021.02.08	3898.4	3915.8	3892.6	3915.8	18124	0	7
2021.02.09	3913.5	3918.5	3901.5	3912.7	16570	0	7
2021.02.10	3915.6	3934.6	3884.6	3910.9	27765	0	7
2021.02.11	3912.4	3925.9	3890.2	3916.4	25821	0	7
2021.02.12	3912.6	3938.1	3895.8	3936.6	17644	0	7
2021.02.15	3943.8	3957.3	3941.1	3956.3	8136	0	7
2021.02.16	3953.3	3964.1	3923.8	3931.6	24512	0	7
2021.02.17	3930.0	3937.0	3901.3	3932.8	33431	0	7
2021.02.18	3930.2	3940.4	3885.2	3915.7	33514	0	7
2021.02.19	3917.5	3935.2	3894.7	3908.2	31423	0	7
2021.02.22	3899.2	3918.2	3865.4	3878.7	39126	0	7
2021.02.23	3887.6	3900.1	3808.8	3882.4	55990	0	7
2021.02.24	3871.6	3929.9	3856.1	3925.1	54977	0	7
2021.02.25	3928.6	3938.1	3814.1	3830.9	65560	0	7
2021.02.26	3829.0	3861.7	3788.5	3813.0	101357	0	7
2021.03.01	3833.1	3915.3	3831.8	3901.1	40276	0	7
2021.03.02	3907.3	3909.3	3869.1	3871.6	51266	0	7
2021.03.03	3878.1	3901.1	3818.9	3820.1	55709	0	7
2021.03.04	3809.2	3844.5	3723.3	3771.8	90932	0	7
2021.03.05	3766.2	3852.4	3731.2	3840.7	92793	0	7
2021.03.08	3863.7	3881.4	3798.9	3822.7	81295	0	7
2021.03.09	3842.0	3903.3	3828.5	3875.0	54190	0	7
2021.03.10	3879.3	3918.1	3858.8	3899.1	61040	0	3
2021.03.11	3906.5	3960.0	3894.9	3938.1	45988	0	2
2021.03.12	3944.4	3947.9	3911.3	3944.3	43962	0	2
2021.03.15	3951.5	3971.0	3924.0	3967.9	29673	0	3
2021.03.16	3964.4	3981.4	3953.6	3968.0	28003	0	7
2021.03.17	3967.1	3983.9	3935.9	3972.0	38019	0	7
2021.03.18	3979.0	3989.0	3911.3	3920.9	44598	0	7
2021.03.19	3922.2	3933.7	3885.5	3907.1	48372	0	7
2021.03.22	3908.3	3954.8	3895.6	3943.0	32534	0	7
2021.03.23	3943.8	3948.8	3901.1	3914.2	36760	0	7
2021.03.24	3909.1	3941.8	3888.1	3893.2	39781	0	7
2021.03.25	3896.2	3919.7	3853.7	3917.6	49828	0	7
2021.03.26	3920.5	3978.2	3912.2	3972.6	32274	0	7
2021.03.29	3968.0	3981.5	3939.5	3972.0	41981	0	7
2021.03.30	3977.8	3978.1	3943.9	3962.9	31945	0	7
2021.03.31	3956.4	3993.6	3951.4	3978.1	20960	0	2
2021.04.01	3978.6	4020.6	3974.4	4019.4	17481	0	7
2021.04.02	4023.7	4047.7	4023.7	4037.0	5417	0	7
2021.04.05	4035.0	4082.9	4030.5	4076.5	12973	0	7
2021.04.06	4078.5	4085.5	4061.7	4073.5	19413	0	7
2021.04.07	4074.7	4082.7	4066.0	4079.5	17654	0	7
2021.04.08	4082.6	4101.1	4081.1	4098.1	14146	0	7
2021.04.09	4104.8	4129.8	4089.6	4128.3	14476	0	7
2021.04.12	4124.6	4132.1	4113.1	4129.3	17040	0	7
2021.04.13	4129.3	4148.4	4110.1	4141.6	17175	0	7
2021.04.14	4140.9	4151.9	4121.4	4128.4	18891	0	5
2021.04.15	4134.4	4175.2	4127.9	4171.7	15048	0	7
2021.04.16	4171.7	4191.9	4162.9	4186.2	15713	0	7
2021.04.19	4175.2	4183.2	4150.7	4166.4	22875	0	4
2021.04.20	4167.2	4175.7	4119.2	4135.9	27495	0	7
2021.04.21	4131.7	4175.4	4121.7	4174.2	20662	0	7
2021.04.22	4165.4	4179.9	4123.6	4136.4	28906	0	7
2021.04.23	4137.4	4194.9	4135.9	4179.4	17992	0	7
2021.04.26	4179.2	4194.2	4172.2	4189.2	16386	0	4
2021.04.27	4190.5	4199.2	4175.2	4186.7	16618	0	7
2021.04.28	4190.0	4202.2	4181.5	4186.0	17928	0	7
2021.04.29	4194.5	4219.0	4176.4	4212.1	21287	0	7
2021.04.30	4207.3	4208.3	4175.3	4184.8	25360	0	7
2021.05.03	4194.7	4210.4	4189.2	4193.4	19289	0	7
