<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.01	00:00:00	0.75932	0.75989	0.75926	0.75943	395	0	10
2021.04.01	01:00:00	0.75944	0.75997	0.75932	0.75935	1013	0	3
2021.04.01	02:00:00	0.75939	0.75957	0.75893	0.75938	1068	0	3
2021.04.01	03:00:00	0.75938	0.75951	0.75790	0.75908	3216	0	3
2021.04.01	04:00:00	0.75909	0.75926	0.75750	0.75789	2829	0	3
2021.04.01	05:00:00	0.75789	0.75824	0.75665	0.75699	2460	0	3
2021.04.01	06:00:00	0.75701	0.75768	0.75697	0.75711	1820	0	3
2021.04.01	07:00:00	0.75710	0.75735	0.75403	0.75439	2736	0	3
2021.04.01	08:00:00	0.75439	0.75443	0.75348	0.75376	2616	0	3
2021.04.01	09:00:00	0.75376	0.75513	0.75316	0.75470	3556	0	3
2021.04.01	10:00:00	0.75470	0.75710	0.75405	0.75705	5007	0	3
2021.04.01	11:00:00	0.75705	0.75744	0.75574	0.75580	4410	0	3
2021.04.01	12:00:00	0.75578	0.75728	0.75566	0.75649	3053	0	3
2021.04.01	13:00:00	0.75652	0.75671	0.75592	0.75617	2519	0	3
2021.04.01	14:00:00	0.75616	0.75745	0.75587	0.75708	2799	0	3
2021.04.01	15:00:00	0.75711	0.75863	0.75688	0.75849	4411	0	3
2021.04.01	16:00:00	0.75849	0.76036	0.75849	0.75958	5546	0	3
2021.04.01	17:00:00	0.75954	0.76048	0.75945	0.76015	6368	0	3
2021.04.01	18:00:00	0.76015	0.76091	0.76015	0.76036	3311	0	3
2021.04.01	19:00:00	0.76036	0.76150	0.76032	0.76069	2620	0	3
2021.04.01	20:00:00	0.76069	0.76178	0.76068	0.76156	2475	0	3
2021.04.01	21:00:00	0.76157	0.76181	0.76136	0.76156	2554	0	3
2021.04.01	22:00:00	0.76156	0.76190	0.76124	0.76177	2128	0	3
2021.04.01	23:00:00	0.76177	0.76198	0.76133	0.76160	1347	0	3
2021.04.02	00:00:00	0.76155	0.76175	0.76128	0.76141	510	0	11
2021.04.02	01:00:00	0.76147	0.76191	0.76145	0.76187	544	0	3
2021.04.02	02:00:00	0.76187	0.76187	0.76149	0.76163	479	0	3
2021.04.02	03:00:00	0.76163	0.76341	0.76163	0.76284	1833	0	3
2021.04.02	04:00:00	0.76285	0.76326	0.76267	0.76284	994	0	3
2021.04.02	05:00:00	0.76283	0.76338	0.76276	0.76336	871	0	3
2021.04.02	06:00:00	0.76335	0.76375	0.76288	0.76296	1224	0	3
2021.04.02	07:00:00	0.76306	0.76317	0.76281	0.76302	677	0	3
2021.04.02	08:00:00	0.76302	0.76339	0.76259	0.76296	1021	0	3
2021.04.02	09:00:00	0.76296	0.76308	0.76208	0.76220	875	0	3
2021.04.02	10:00:00	0.76221	0.76227	0.76133	0.76198	1390	0	3
2021.04.02	11:00:00	0.76193	0.76220	0.76126	0.76128	1170	0	3
2021.04.02	12:00:00	0.76130	0.76160	0.76098	0.76102	930	0	3
2021.04.02	13:00:00	0.76101	0.76193	0.76101	0.76171	705	0	3
2021.04.02	14:00:00	0.76172	0.76186	0.76091	0.76155	1110	0	3
2021.04.02	15:00:00	0.76156	0.76296	0.76005	0.76134	2776	0	3
2021.04.02	16:00:00	0.76134	0.76155	0.76024	0.76089	1924	0	3
2021.04.02	17:00:00	0.76089	0.76094	0.75986	0.76032	1444	0	3
2021.04.02	18:00:00	0.76031	0.76065	0.75993	0.76009	849	0	3
2021.04.02	19:00:00	0.76011	0.76032	0.75975	0.76003	734	0	15
2021.04.02	20:00:00	0.76011	0.76030	0.75981	0.75997	938	0	16
2021.04.02	21:00:00	0.75999	0.76023	0.75971	0.75998	1061	0	5
2021.04.02	22:00:00	0.76030	0.76030	0.75962	0.75977	517	0	25
2021.04.02	23:00:00	0.75977	0.76153	0.75920	0.76098	997	0	24
2021.04.05	00:00:00	0.76011	0.76057	0.76011	0.76028	286	0	21
2021.04.05	01:00:00	0.76030	0.76127	0.76023	0.76112	1743	0	3
2021.04.05	02:00:00	0.76099	0.76211	0.76078	0.76191	1273	0	3
2021.04.05	03:00:00	0.76191	0.76227	0.76140	0.76201	1742	0	3
2021.04.05	04:00:00	0.76201	0.76250	0.76169	0.76208	1652	0	3
2021.04.05	05:00:00	0.76204	0.76233	0.76190	0.76201	1302	0	3
2021.04.05	06:00:00	0.76201	0.76236	0.76184	0.76213	1426	0	3
2021.04.05	07:00:00	0.76211	0.76214	0.76125	0.76126	1194	0	3
2021.04.05	08:00:00	0.76126	0.76145	0.76044	0.76046	1022	0	3
2021.04.05	09:00:00	0.76044	0.76076	0.76003	0.76053	1314	0	3
2021.04.05	10:00:00	0.76053	0.76144	0.75983	0.76144	1465	0	3
2021.04.05	11:00:00	0.76144	0.76252	0.76132	0.76233	1736	0	3
2021.04.05	12:00:00	0.76233	0.76237	0.76180	0.76191	1340	0	3
2021.04.05	13:00:00	0.76191	0.76252	0.76167	0.76228	1410	0	3
2021.04.05	14:00:00	0.76231	0.76293	0.76223	0.76270	1521	0	3
2021.04.05	15:00:00	0.76272	0.76391	0.76253	0.76359	2764	0	3
2021.04.05	16:00:00	0.76360	0.76490	0.76329	0.76425	3314	0	3
2021.04.05	17:00:00	0.76423	0.76604	0.76419	0.76472	4461	0	3
2021.04.05	18:00:00	0.76472	0.76563	0.76440	0.76562	2270	0	3
2021.04.05	19:00:00	0.76562	0.76575	0.76539	0.76548	1166	0	3
2021.04.05	20:00:00	0.76548	0.76548	0.76504	0.76544	1274	0	3
2021.04.05	21:00:00	0.76545	0.76554	0.76506	0.76534	745	0	3
2021.04.05	22:00:00	0.76534	0.76539	0.76485	0.76513	1863	0	3
2021.04.05	23:00:00	0.76513	0.76529	0.76490	0.76490	848	0	2
2021.04.06	00:00:00	0.76515	0.76531	0.76373	0.76501	481	0	14
2021.04.06	01:00:00	0.76500	0.76582	0.76495	0.76574	1091	0	3
2021.04.06	02:00:00	0.76575	0.76603	0.76543	0.76574	1171	0	3
2021.04.06	03:00:00	0.76572	0.76607	0.76504	0.76544	1688	0	3
2021.04.06	04:00:00	0.76542	0.76592	0.76460	0.76472	2151	0	3
2021.04.06	05:00:00	0.76471	0.76490	0.76396	0.76405	1788	0	3
2021.04.06	06:00:00	0.76405	0.76414	0.76306	0.76329	1809	0	3
2021.04.06	07:00:00	0.76329	0.76498	0.76327	0.76387	2314	0	3
2021.04.06	08:00:00	0.76387	0.76490	0.76369	0.76464	2146	0	3
2021.04.06	09:00:00	0.76465	0.76562	0.76311	0.76342	2495	0	3
2021.04.06	10:00:00	0.76340	0.76350	0.76231	0.76344	3411	0	3
2021.04.06	11:00:00	0.76342	0.76343	0.76193	0.76272	3401	0	3
2021.04.06	12:00:00	0.76273	0.76297	0.76067	0.76125	3139	0	3
2021.04.06	13:00:00	0.76124	0.76158	0.76061	0.76143	2396	0	3
2021.04.06	14:00:00	0.76143	0.76262	0.76140	0.76252	2051	0	3
2021.04.06	15:00:00	0.76252	0.76426	0.76226	0.76366	3978	0	3
2021.04.06	16:00:00	0.76366	0.76456	0.76311	0.76435	4384	0	3
2021.04.06	17:00:00	0.76435	0.76617	0.76376	0.76567	4814	0	3
2021.04.06	18:00:00	0.76566	0.76621	0.76542	0.76592	2767	0	3
2021.04.06	19:00:00	0.76592	0.76633	0.76551	0.76615	1948	0	3
2021.04.06	20:00:00	0.76617	0.76631	0.76499	0.76564	2332	0	3
2021.04.06	21:00:00	0.76564	0.76672	0.76546	0.76645	2068	0	3
2021.04.06	22:00:00	0.76646	0.76654	0.76583	0.76652	2380	0	3
2021.04.06	23:00:00	0.76651	0.76682	0.76620	0.76620	1147	0	3
2021.04.07	00:00:00	0.76624	0.76644	0.76559	0.76610	465	0	3
2021.04.07	01:00:00	0.76610	0.76656	0.76567	0.76568	1199	0	3
2021.04.07	02:00:00	0.76567	0.76674	0.76562	0.76658	1260	0	3
2021.04.07	03:00:00	0.76659	0.76728	0.76596	0.76702	2531	0	3
2021.04.07	04:00:00	0.76702	0.76769	0.76628	0.76629	3214	0	3
2021.04.07	05:00:00	0.76630	0.76667	0.76511	0.76513	3772	0	3
2021.04.07	06:00:00	0.76513	0.76576	0.76502	0.76527	2303	0	3
2021.04.07	07:00:00	0.76525	0.76567	0.76508	0.76560	1443	0	3
2021.04.07	08:00:00	0.76559	0.76593	0.76513	0.76564	1757	0	3
2021.04.07	09:00:00	0.76565	0.76632	0.76387	0.76401	3842	0	3
2021.04.07	10:00:00	0.76401	0.76466	0.76315	0.76369	3702	0	3
2021.04.07	11:00:00	0.76368	0.76375	0.76206	0.76363	3317	0	3
2021.04.07	12:00:00	0.76364	0.76372	0.76215	0.76239	2954	0	3
2021.04.07	13:00:00	0.76239	0.76310	0.76204	0.76278	2740	0	3
2021.04.07	14:00:00	0.76280	0.76382	0.76248	0.76297	2560	0	3
2021.04.07	15:00:00	0.76297	0.76297	0.76145	0.76168	3932	0	3
