<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.07.01	00:00:00	1.23948	1.24011	1.23933	1.23960	682	0	19
2021.07.01	01:00:00	1.23967	1.23993	1.23941	1.23941	410	0	3
2021.07.01	02:00:00	1.23936	1.23955	1.23901	1.23939	1745	0	2
2021.07.01	03:00:00	1.23937	1.24099	1.23933	1.24090	1514	0	2
2021.07.01	04:00:00	1.24089	1.24090	1.24004	1.24034	1077	0	2
2021.07.01	05:00:00	1.24033	1.24075	1.23996	1.24010	1113	0	2
2021.07.01	06:00:00	1.24010	1.24042	1.23961	1.23963	575	0	2
2021.07.01	07:00:00	1.23964	1.24018	1.23946	1.23993	829	0	2
2021.07.01	08:00:00	1.23993	1.24088	1.23989	1.24029	1381	0	2
2021.07.01	09:00:00	1.24029	1.24095	1.23991	1.24020	2822	0	2
2021.07.01	10:00:00	1.24015	1.24043	1.23874	1.24004	3383	0	2
2021.07.01	11:00:00	1.24000	1.24128	1.23974	1.24125	2773	0	2
2021.07.01	12:00:00	1.24126	1.24172	1.23984	1.24027	2748	0	2
2021.07.01	13:00:00	1.24027	1.24114	1.23960	1.23960	3211	0	2
2021.07.01	14:00:00	1.23960	1.23984	1.23798	1.23800	2951	0	2
2021.07.01	15:00:00	1.23800	1.23843	1.23646	1.23775	3440	0	2
2021.07.01	16:00:00	1.23774	1.23844	1.23653	1.23682	4056	0	2
2021.07.01	17:00:00	1.23684	1.23915	1.23684	1.23891	4816	0	2
2021.07.01	18:00:00	1.23891	1.24278	1.23890	1.24054	3944	0	2
2021.07.01	19:00:00	1.24053	1.24276	1.24048	1.24257	2734	0	2
2021.07.01	20:00:00	1.24257	1.24344	1.24203	1.24333	2089	0	2
2021.07.01	21:00:00	1.24333	1.24454	1.24293	1.24439	1737	0	2
2021.07.01	22:00:00	1.24439	1.24455	1.24381	1.24389	1708	0	2
2021.07.01	23:00:00	1.24389	1.24435	1.24346	1.24355	958	0	2
2021.07.02	00:00:00	1.24343	1.24400	1.24338	1.24385	442	0	4
2021.07.02	01:00:00	1.24385	1.24428	1.24362	1.24398	315	0	2
2021.07.02	02:00:00	1.24398	1.24434	1.24382	1.24407	610	0	2
2021.07.02	03:00:00	1.24408	1.24419	1.24356	1.24415	1702	0	2
2021.07.02	04:00:00	1.24414	1.24445	1.24357	1.24391	1667	0	2
2021.07.02	05:00:00	1.24391	1.24414	1.24309	1.24336	1643	0	2
2021.07.02	06:00:00	1.24340	1.24353	1.24299	1.24309	1039	0	2
2021.07.02	07:00:00	1.24311	1.24316	1.24276	1.24307	754	0	2
2021.07.02	08:00:00	1.24307	1.24373	1.24280	1.24359	1021	0	2
2021.07.02	09:00:00	1.24359	1.24449	1.24327	1.24433	2284	0	2
2021.07.02	10:00:00	1.24432	1.24499	1.24358	1.24405	3200	0	2
2021.07.02	11:00:00	1.24404	1.24413	1.24234	1.24359	2747	0	2
2021.07.02	12:00:00	1.24359	1.24369	1.24264	1.24299	2213	0	2
2021.07.02	13:00:00	1.24299	1.24323	1.24125	1.24160	956	0	2
2021.07.02	14:00:00	1.24159	1.24196	1.24024	1.24178	2480	0	2
2021.07.02	15:00:00	1.24179	1.24268	1.23783	1.23873	6965	0	2
2021.07.02	16:00:00	1.23873	1.23916	1.23653	1.23653	6453	0	2
2021.07.02	17:00:00	1.23653	1.23888	1.23584	1.23691	4709	0	2
2021.07.02	18:00:00	1.23691	1.23723	1.23420	1.23455	3380	0	2
2021.07.02	19:00:00	1.23455	1.23523	1.23418	1.23433	2380	0	2
2021.07.02	20:00:00	1.23433	1.23459	1.23282	1.23299	2009	0	2
2021.07.02	21:00:00	1.23299	1.23299	1.23091	1.23174	1944	0	2
2021.07.02	22:00:00	1.23174	1.23254	1.23174	1.23232	2370	0	2
2021.07.02	23:00:00	1.23229	1.23286	1.23186	1.23274	1189	0	2
2021.07.05	00:00:00	1.23091	1.23253	1.23021	1.23206	355	0	35
2021.07.05	01:00:00	1.23200	1.23290	1.23194	1.23280	716	0	2
2021.07.05	02:00:00	1.23280	1.23327	1.23248	1.23310	1156	0	2
2021.07.05	03:00:00	1.23309	1.23425	1.23309	1.23408	1315	0	2
2021.07.05	04:00:00	1.23408	1.23419	1.23327	1.23338	2116	0	2
2021.07.05	05:00:00	1.23338	1.23446	1.23334	1.23425	1435	0	2
2021.07.05	06:00:00	1.23422	1.23466	1.23389	1.23462	1036	0	2
2021.07.05	07:00:00	1.23461	1.23482	1.23414	1.23422	667	0	2
2021.07.05	08:00:00	1.23424	1.23474	1.23407	1.23459	1072	0	2
2021.07.05	09:00:00	1.23460	1.23487	1.23337	1.23423	2197	0	2
2021.07.05	10:00:00	1.23424	1.23549	1.23419	1.23439	2472	0	2
2021.07.05	11:00:00	1.23439	1.23443	1.23343	1.23418	2055	0	2
2021.07.05	12:00:00	1.23418	1.23483	1.23368	1.23472	1885	0	2
2021.07.05	13:00:00	1.23472	1.23514	1.23438	1.23461	1581	0	2
2021.07.05	14:00:00	1.23461	1.23581	1.23446	1.23564	1640	0	2
2021.07.05	15:00:00	1.23564	1.23652	1.23543	1.23644	2311	0	2
2021.07.05	16:00:00	1.23645	1.23663	1.23527	1.23589	2319	0	2
2021.07.05	17:00:00	1.23590	1.23719	1.23528	1.23532	2422	0	2
2021.07.05	18:00:00	1.23532	1.23538	1.23298	1.23302	1748	0	2
2021.07.05	19:00:00	1.23301	1.23348	1.23238	1.23319	1124	0	2
2021.07.05	20:00:00	1.23320	1.23363	1.23250	1.23343	1553	0	2
2021.07.05	21:00:00	1.23343	1.23371	1.23307	1.23369	786	0	6
2021.07.05	22:00:00	1.23368	1.23380	1.23322	1.23328	1050	0	5
2021.07.05	23:00:00	1.23328	1.23546	1.23308	1.23413	1434	0	8
2021.07.06	00:00:00	1.23389	1.23404	1.23264	1.23367	471	0	35
2021.07.06	01:00:00	1.23365	1.23372	1.23265	1.23345	479	0	3
2021.07.06	02:00:00	1.23350	1.23412	1.23346	1.23401	751	0	3
2021.07.06	03:00:00	1.23401	1.23462	1.23365	1.23416	1437	0	2
2021.07.06	04:00:00	1.23416	1.23462	1.23280	1.23311	1717	0	2
2021.07.06	05:00:00	1.23315	1.23328	1.23256	1.23265	984	0	2
2021.07.06	06:00:00	1.23265	1.23282	1.23204	1.23239	1326	0	2
2021.07.06	07:00:00	1.23239	1.23347	1.23239	1.23268	1955	0	2
2021.07.06	08:00:00	1.23268	1.23292	1.23191	1.23194	1912	0	2
2021.07.06	09:00:00	1.23194	1.23211	1.23026	1.23091	1628	0	2
