<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.01	00:00:00	111.242	111.301	111.227	111.286	948	0	8
2021.10.01	01:00:00	111.287	111.375	111.279	111.351	1139	0	3
2021.10.01	02:00:00	111.349	111.471	111.344	111.464	1012	0	0
2021.10.01	03:00:00	111.462	111.488	111.355	111.396	3016	0	0
2021.10.01	04:00:00	111.395	111.417	111.245	111.299	3274	0	0
2021.10.01	05:00:00	111.299	111.324	111.231	111.259	2162	0	0
2021.10.01	06:00:00	111.260	111.304	111.143	111.153	3020	0	0
2021.10.01	07:00:00	111.156	111.185	111.116	111.173	1908	0	0
2021.10.01	08:00:00	111.173	111.219	111.130	111.187	1663	0	0
2021.10.01	09:00:00	111.188	111.263	111.060	111.114	4583	0	0
2021.10.01	10:00:00	111.114	111.297	111.049	111.258	5587	0	0
2021.10.01	11:00:00	111.258	111.283	111.076	111.110	4449	0	0
2021.10.01	12:00:00	111.110	111.158	111.049	111.127	3428	0	0
2021.10.01	13:00:00	111.127	111.193	111.080	111.186	2434	0	0
2021.10.01	14:00:00	111.183	111.260	111.086	111.161	4648	0	0
2021.10.01	15:00:00	111.161	111.208	110.963	110.989	5954	0	0
2021.10.01	16:00:00	110.989	111.116	110.905	110.948	7252	0	0
2021.10.01	17:00:00	110.947	111.138	110.909	110.957	8327	0	0
2021.10.01	18:00:00	110.959	111.107	110.956	110.984	4855	0	0
2021.10.01	19:00:00	110.983	111.020	110.952	110.999	2325	0	0
2021.10.01	20:00:00	110.999	111.037	110.985	111.016	959	0	0
2021.10.01	21:00:00	111.015	111.061	111.011	111.052	1811	0	0
2021.10.01	22:00:00	111.051	111.121	111.021	111.024	809	0	0
2021.10.01	23:00:00	111.024	111.068	111.014	111.066	591	0	2
2021.10.04	00:00:00	111.055	111.055	110.891	110.949	393	0	6
2021.10.04	01:00:00	110.949	111.018	110.899	110.997	2052	0	4
2021.10.04	02:00:00	110.997	111.004	110.926	110.949	1231	0	0
2021.10.04	03:00:00	110.950	111.000	110.883	110.950	3692	0	0
2021.10.04	04:00:00	110.950	111.049	110.926	110.989	3070	0	0
2021.10.04	05:00:00	110.990	111.101	110.976	111.080	3097	0	0
2021.10.04	06:00:00	111.081	111.115	111.035	111.062	1885	0	0
2021.10.04	07:00:00	111.062	111.070	111.017	111.045	1383	0	0
2021.10.04	08:00:00	111.044	111.080	111.017	111.061	1752	0	0
2021.10.04	09:00:00	111.061	111.082	110.965	111.014	3659	0	0
2021.10.04	10:00:00	111.019	111.197	111.005	111.166	5163	0	0
2021.10.04	11:00:00	111.165	111.247	111.123	111.205	2999	0	0
